k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,30,30,30,,13.74,13.74,13.74,
1,30,30,30,,13.74,13.74,13.74,
2,30,30,30,,13.74,13.74,13.74,
3,30,30,30,,13.74,13.74,13.74,
4,30,30,30,,13.74,13.74,13.74,
5,30,30,30,,13.74,13.74,13.74,
6,30,30,30,,13.74,13.74,13.74,
7,30,30,30,,13.74,13.74,13.74,
8,30,30,30,,13.74,13.74,13.74,
9,30,30,30,,7.36,7.36,7.36,
10,30,30,30,,7.36,7.36,7.36,
11,30,30,30,,7.36,7.36,7.36,
12,29.87,29.87,29.87,,4.49,4.49,4.49,
13,29.87,29.87,29.87,,4.49,4.49,4.49,
14,29.86,29.86,29.86,,7.36,7.36,7.36,
15,29.86,29.86,29.86,,7.36,7.36,7.36,
16,29.86,29.86,29.86,,7.36,7.36,7.36,
17,29.86,29.86,29.86,,7.36,7.36,7.36,
18,29.83,29.83,29.83,,4.49,4.49,4.49,
19,29.83,29.83,29.83,,4.49,4.49,4.49,
20,29.67,29.67,29.67,,4.49,4.49,4.49,
21,29.67,29.67,29.67,,4.49,4.49,4.49,
22,29.67,29.67,29.67,,4.49,4.49,4.49,
23,29.67,29.67,29.67,,4.49,4.49,4.49,
24,29.6,29.6,29.6,,0,0,0,
25,29.6,29.6,29.6,,0,0,0,
26,29.6,29.6,29.6,,0,0,0,
27,29.6,29.6,29.6,,0,0,0,
28,29.5,29.5,29.5,,8.35,8.35,8.35,
29,29.5,29.5,29.5,,8.35,8.35,8.35,
30,29.5,29.5,29.5,,8.35,8.35,8.35,
31,29.5,29.5,29.5,,8.35,8.35,8.35,
32,29.5,29.5,29.5,,8.35,8.35,8.35,
33,28.8,28.8,28.8,,0,0,0,
34,28.75,28.75,28.75,,0,0,0,
35,28.67,28.67,28.67,,0,0,0,
36,28.67,28.67,28.67,,0,0,0,
37,28.67,28.67,28.67,,0,0,0,
38,28.67,28.67,28.67,,0,0,0,
39,28.67,28.67,28.67,,0,0,0,
40,28.67,28.67,28.67,,0,0,0,
41,28.5,28.5,28.5,,0,0,0,
42,28.5,28.5,28.5,,0,0,0,
43,28.5,28.5,28.5,,0,0,0,
44,28.5,28.5,28.5,,0,0,0,
45,28.5,28.5,28.5,,0,0,0,
46,28.5,28.5,28.5,,0,0,0,
47,28.5,28.5,28.5,,0,0,0,
48,28.5,28.5,28.5,,0,0,0,
49,28.5,28.5,28.5,,0,0,0,
50,28.5,28.5,28.5,,0,0,0,
51,28.5,28.5,28.5,,0,0,0,
52,28.4,28.4,28.4,,0,0,0,
53,28.4,28.4,28.4,,0,0,0,
54,28.25,28.25,28.25,,0,0,0,
55,28,28,28,,0,0,0,
56,28,28,28,,0,0,0,
57,28,28,28,,0,0,0,
58,28,28,28,,0,0,0,
59,28,28,28,,0,0,0,
60,28,28,28,,0,0,0,
61,28,28,28,,0,0,0,
62,28,28,28,,0,0,0,
63,28,28,28,,4.49,4.49,4.49,
64,28,28,28,,4.49,4.49,4.49,
65,28,28,28,,4.49,4.49,4.49,
66,28,28,28,,4.49,4.49,4.49,
67,28,28,28,,4.49,4.49,4.49,
68,28,28,28,,4.49,4.49,4.49,
69,28,28,28,,4.49,4.49,4.49,
70,27.75,27.75,27.75,,0,0,0,
71,27.75,27.75,27.75,,0,0,0,
72,27.67,27.67,27.67,,0,0,0,
73,27,27,27,,0,0,0,
74,27,27,27,,0,0,0,
75,26.67,26.67,26.67,,0,0,0,
76,26.67,26.67,26.67,,0,0,0,
77,26.5,26.5,26.5,,0,0,0,
78,26.5,26.5,26.5,,0,0,0,
79,26.5,26.5,26.5,,0,0,0,
80,26.5,26.5,26.5,,0,0,0,
81,26.5,26.5,26.5,,0,0,0,
82,26.5,26.5,26.5,,0,0,0,
83,26.5,26.5,26.5,,0,0,0,
84,26.5,26.5,26.5,,0,0,0,
85,26.5,26.5,26.5,,0,0,0,
86,26.33,26.33,26.33,,0,0,0,
87,26.33,26.33,26.33,,0,0,0,
88,26.33,26.33,26.33,,0,0,0,
89,26.33,26.33,26.33,,0,0,0,
90,26.2,26.2,26.2,,0,0,0,
91,26,26,26,,0,0,0,
92,25.83,25.83,25.83,,0,0,0,
93,25.83,25.83,25.83,,0,0,0,
94,25.83,25.83,25.83,,0,0,0,
95,25.83,25.83,25.83,,0,0,0,
96,25.83,25.83,25.83,,0,0,0,
97,25.8,25.8,25.8,,0,0,0,
98,25.75,25.75,25.75,,0,0,0,
99,25.75,25.75,25.75,,0,0,0,
100,25.67,25.67,25.67,,0,0,0,
101,25.33,25.33,25.33,,0,0,0,
102,25.33,25.33,25.33,,0,0,0,
103,25,25,25,,4.49,4.49,4.49,
104,24.33,24.33,24.33,,0,0,0,
105,24.33,24.33,24.33,,0,0,0,
106,24.33,24.33,24.33,,0,0,0,
107,24.33,24.33,24.33,,0,0,0,
108,24.33,24.33,24.33,,0,0,0,
109,24.33,24.33,24.33,,0,0,0,
110,24.33,24.33,24.33,,0,0,0,
111,24.33,24.33,24.33,,0,0,0,
112,24.33,24.33,24.33,,0,0,0,
113,24.33,24.33,24.33,,0,0,0,
114,24.33,24.33,24.33,,0,0,0,
115,24,24,24,,0,0,0,
116,24,24,24,,0,0,0,
117,24,24,24,,0,0,0,
118,23.67,23.67,23.67,,0,0,0,
119,23.67,23.67,23.67,,0,0,0,
120,23.33,23.33,23.33,,0,0,0,
121,23.33,23.33,23.33,,0,0,0,
122,23.33,23.33,23.33,,0,0,0,
123,23.33,23.33,23.33,,0,0,0,
124,23.33,23.33,23.33,,0,0,0,
125,23.33,23.33,23.33,,0,0,0,
126,23.33,23.33,23.33,,0,0,0,
127,23.33,23.33,23.33,,0,0,0,
128,23.33,23.33,23.33,,0,0,0,
129,23.33,23.33,23.33,,0,0,0,
130,23.33,23.33,23.33,,0,0,0,
131,23.33,23.33,23.33,,0,0,0,
132,23.33,23.33,23.33,,0,0,0,
133,23,23,23,,0,0,0,
134,22.62,22.62,22.62,,4.49,4.49,4.49,
135,22.62,22.62,22.62,,4.49,4.49,4.49,
136,22.62,22.62,22.62,,4.49,4.49,4.49,
137,22.62,22.62,22.62,,4.49,4.49,4.49,
138,22.5,22.5,22.5,,4.49,4.49,4.49,
139,22.5,22.5,22.5,,4.49,4.49,4.49,
140,22.37,22.37,22.37,,4.49,4.49,4.49,
141,22.25,22.25,22.25,,4.49,4.49,4.49,
142,22.25,22.25,22.25,,4.49,4.49,4.49,
143,22.25,22.25,22.25,,4.49,4.49,4.49,
144,22.25,22.25,22.25,,4.49,4.49,4.49,
145,22.25,22.25,22.25,,4.49,4.49,4.49,
146,22.25,22.25,22.25,,4.49,4.49,4.49,
147,22.25,22.25,22.25,,4.49,4.49,4.49,
148,22.17,22.17,22.17,,4.49,4.49,4.49,
149,22.17,22.17,22.17,,4.49,4.49,4.49,
150,22.17,22.17,22.17,,4.49,4.49,4.49,
151,22.17,22.17,22.17,,4.49,4.49,4.49,
152,22,22,22,,4.49,4.49,4.49,
153,22,22,22,,4.49,4.49,4.49,
154,22,22,22,,4.49,4.49,4.49,
155,22,22,22,,4.49,4.49,4.49,
156,22,22,22,,4.49,4.49,4.49,
157,22,22,22,,4.49,4.49,4.49,
158,22,22,22,,4.49,4.49,4.49,
159,21,21,21,,4.49,4.49,4.49,
160,21,21,21,,4.49,4.49,4.49,
161,21,21,21,,4.49,4.49,4.49,
162,21,21,21,,4.49,4.49,4.49,
163,20.87,20.87,20.87,,4.49,4.49,4.49,
164,20.87,20.87,20.87,,4.49,4.49,4.49,
165,20.87,20.87,20.87,,4.49,4.49,4.49,
166,20.87,20.87,20.87,,4.49,4.49,4.49,
167,20.87,20.87,20.87,,4.49,4.49,4.49,
168,20.87,20.87,20.87,,4.49,4.49,4.49,
169,20.87,20.87,20.87,,4.49,4.49,4.49,
