k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,9,9,9,0,1.1,1.42,1.73,0.2
1,9,9,9,0,1.1,1.42,1.73,0.2
2,9,9,9,0,1.1,1.55,2.36,0.39
3,9,9,9,0,0.12,1.45,2.36,0.6
4,9,9,9,0,0.12,1.57,2.36,0.63
5,9,9,9,0,0.7,1.63,2.36,0.49
6,9,9,9,0,0.7,1.78,2.59,0.61
7,9,9,9,0,0.37,1.5,2.59,0.77
8,9,9,9,0,0,1.55,2.75,0.97
9,9,9,9,0,0,1.52,2.75,0.95
10,9,9,9,0,0,1.52,2.75,0.95
11,9,9,9,0,0,1.52,2.75,0.95
12,9,9,9,0,0,1.52,2.75,0.95
13,7.92,8.39,9,0.43,0,1.58,2.75,0.89
14,7.92,8.11,9,0.36,0,1.58,2.75,0.89
15,7.91,8,8.67,0.23,0,1.58,2.75,0.89
16,7.9,7.93,8,0.03,0.32,1.73,2.75,0.7
17,7.89,7.92,8,0.03,0.32,1.73,2.75,0.7
18,7.75,7.9,7.92,0.05,0.32,1.73,2.75,0.7
19,7.71,7.89,7.92,0.06,0.32,1.73,2.75,0.7
20,7.67,7.88,7.92,0.08,0.32,1.73,2.75,0.7
21,7.6,7.87,7.92,0.1,0.32,1.73,2.75,0.7
22,7.5,7.84,7.92,0.13,0.32,1.73,2.75,0.7
23,7.33,7.81,7.91,0.18,0.32,1.73,2.75,0.7
24,7,7.76,7.91,0.28,0.32,1.73,2.75,0.7
25,7,7.76,7.91,0.28,0.32,1.73,2.75,0.7
26,6.83,7.72,7.91,0.33,0.32,1.73,2.75,0.7
27,6.83,7.71,7.91,0.33,0.32,1.73,2.75,0.7
28,6.83,7.69,7.91,0.35,0.32,1.73,2.75,0.7
29,6.83,7.66,7.91,0.4,0.32,1.73,2.75,0.7
30,6.83,7.63,7.91,0.41,0.32,1.73,2.75,0.7
31,6.83,7.61,7.91,0.42,0.32,1.73,2.75,0.7
32,6.83,7.59,7.9,0.43,0.32,1.73,2.75,0.7
33,6.83,7.58,7.9,0.43,0.32,1.73,2.75,0.7
34,6.82,7.56,7.9,0.44,0.32,1.73,2.75,0.7
35,6.8,7.53,7.9,0.43,0.32,1.73,2.75,0.7
36,6.78,7.48,7.89,0.42,0.32,1.73,2.75,0.7
37,6.78,7.36,7.89,0.48,0.32,1.73,2.75,0.7
38,6.75,7.34,7.89,0.47,0.32,1.73,2.75,0.7
39,6.75,7.31,7.89,0.48,0.32,1.73,2.75,0.7
40,6.75,7.31,7.89,0.48,0.32,1.73,2.75,0.7
41,6.73,7.26,7.89,0.48,0.32,1.73,2.75,0.7
42,6.7,7.21,7.89,0.49,0.32,1.73,2.75,0.7
43,6.62,7.18,7.89,0.5,0.32,1.73,2.75,0.7
44,6.6,7.15,7.89,0.51,0.32,1.73,2.75,0.7
45,6.57,7.13,7.89,0.51,0.32,1.73,2.75,0.7
46,6.5,7.08,7.89,0.53,0.32,1.73,2.75,0.7
47,6.5,7.01,7.89,0.52,0.32,1.73,2.75,0.7
48,6.33,6.98,7.89,0.54,0.32,1.73,2.75,0.7
49,6.25,6.93,7.89,0.59,0.32,1.73,2.75,0.7
50,6,6.89,7.89,0.62,0.32,1.73,2.75,0.7
51,6,6.88,7.86,0.61,0.32,1.74,2.75,0.7
52,6,6.88,7.83,0.61,0.32,1.74,2.75,0.7
53,5.62,6.84,7.8,0.67,0.32,1.74,2.75,0.7
54,5.62,6.82,7.75,0.67,0.32,1.74,2.75,0.7
55,5.62,6.77,7.71,0.66,0.32,1.74,2.75,0.7
56,5.62,6.76,7.7,0.66,0.32,1.74,2.75,0.7
57,5.6,6.74,7.7,0.64,0.32,1.74,2.75,0.7
58,5.6,6.73,7.7,0.65,0.32,1.74,2.75,0.7
59,5.6,6.71,7.7,0.66,0.32,1.74,2.75,0.7
60,5.6,6.65,7.7,0.65,0.32,1.74,2.75,0.7
61,5.5,6.63,7.7,0.65,0.32,1.74,2.75,0.7
62,5.5,6.6,7.7,0.63,0.32,1.74,2.75,0.7
63,5.43,6.51,7.7,0.63,0.32,1.74,2.75,0.7
64,5.43,6.49,7.7,0.63,0.32,1.74,2.75,0.7
65,5.43,6.47,7.7,0.63,0.32,1.74,2.75,0.7
66,5.43,6.45,7.7,0.63,0.32,1.74,2.75,0.7
67,5.2,6.38,7.7,0.69,0,1.57,2.75,0.89
68,5,6.33,7.7,0.74,0,1.57,2.75,0.89
69,5,6.26,7.6,0.75,0,1.57,2.75,0.89
70,5,6.18,7.6,0.78,0,1.57,2.75,0.89
71,5,6.16,7.6,0.78,0,1.57,2.75,0.89
72,4.6,6.06,7.6,0.88,0,1.57,2.75,0.89
73,4.6,6.06,7.6,0.88,0,1.57,2.75,0.89
74,4.6,6.06,7.6,0.88,0,1.57,2.75,0.89
75,4.6,6.04,7.56,0.88,0,1.57,2.75,0.89
76,4.6,6.02,7.5,0.87,0,1.57,2.75,0.89
77,4.6,6.02,7.5,0.87,0,1.57,2.75,0.89
78,4.5,6,7.5,0.89,0,1.57,2.75,0.89
79,4.4,5.93,7.5,0.9,0,1.57,2.75,0.89
80,4.4,5.87,7.5,0.97,0,1.57,2.75,0.89
81,4.12,5.83,7.5,1.03,0,1.29,2.59,0.91
82,4,5.8,7.43,1.04,0,1.29,2.59,0.91
83,4,5.73,7.37,1.04,0,1.57,2.75,0.89
84,4,5.71,7.29,1.03,0,1.38,2.59,0.81
85,4,5.66,7.29,1.06,0,1.38,2.59,0.81
86,4,5.65,7.29,1.06,0,1.38,2.59,0.81
87,4,5.61,7.29,1.04,0,1.38,2.59,0.81
88,4,5.59,7.29,1.05,0,1.38,2.59,0.81
89,3.83,5.56,7.29,1.07,0,1.38,2.59,0.81
90,3.67,5.53,7.17,1.08,0,1.38,2.59,0.81
91,3.67,5.46,6.56,0.98,0,1.38,2.59,0.81
92,3.5,5.42,6.56,1.02,0,1.38,2.59,0.81
93,3.5,5.4,6.56,1.02,0,1.38,2.59,0.81
94,3.5,5.4,6.56,1.02,0,1.38,2.59,0.81
95,3.43,5.37,6.56,1.03,0,1.38,2.59,0.81
96,3.43,5.34,6.56,1.03,0,1.38,2.59,0.81
97,3.4,5.28,6.56,1.04,0,1.38,2.59,0.81
98,3.4,5.24,6.46,1.02,0,1.38,2.59,0.81
99,3.4,5.22,6.44,1.02,0,1.38,2.59,0.81
100,3.4,5.2,6.44,1.02,0,1.38,2.59,0.81
101,3.4,5.2,6.4,1.01,0,1.38,2.59,0.81
102,3.29,5.16,6.36,1.02,0,1.38,2.59,0.81
103,3.2,5.14,6.33,1.04,0,1.38,2.59,0.81
104,3.2,5.12,6.33,1.02,0,1.38,2.59,0.81
105,3.2,5.11,6.22,1.01,0,1.38,2.59,0.81
106,3.2,5.07,6.22,0.97,0,1.38,2.59,0.81
107,3.2,5.06,6.22,0.96,0,1.38,2.59,0.81
108,3.2,5.06,6.22,0.96,0,1.38,2.59,0.81
109,3.2,5.05,6.22,0.96,0,1.38,2.59,0.81
110,3.2,5,6.22,0.93,0,1.22,2.59,0.8
111,3.2,4.98,6.11,0.91,0,1.22,2.59,0.8
112,3.2,4.96,6.11,0.9,0,1.22,2.59,0.8
113,3.2,4.93,6.11,0.88,0,1.22,2.59,0.8
114,3.2,4.92,6,0.86,0,1.22,2.59,0.8
115,3.2,4.89,6,0.86,0,1.22,2.59,0.8
116,3,4.85,6,0.9,0,0.96,1.89,0.72
117,3,4.82,6,0.87,0,0.96,1.89,0.72
118,3,4.8,6,0.88,0,0.96,1.89,0.72
119,3,4.78,6,0.87,0,0.96,1.89,0.72
120,3,4.69,6,0.91,0,0.96,1.89,0.72
121,3,4.59,5.7,0.83,0,0.96,1.89,0.72
122,3,4.52,5.7,0.79,0,0.96,1.89,0.72
123,3,4.45,5.7,0.79,0,0.96,1.89,0.72
124,3,4.41,5.7,0.78,0,0.96,1.89,0.72
125,3,4.36,5.6,0.76,0,0.96,1.89,0.72
126,3,4.29,5.5,0.74,0,0.96,1.89,0.72
127,3,4.25,5.44,0.72,0,0.96,1.89,0.72
128,3,4.21,5.44,0.71,0,0.96,1.89,0.72
129,3,4.18,5.44,0.71,0,0.96,1.89,0.72
130,3,4.16,5.44,0.7,0,0.96,1.89,0.72
131,3,4.14,5.37,0.68,0,0.96,1.89,0.72
132,3,4.09,5.37,0.69,0,0.96,1.89,0.72
133,3,4.07,5.37,0.7,0,0.96,1.89,0.72
134,2.8,4.03,5.37,0.73,0,0.96,1.89,0.72
135,2.67,3.97,5.37,0.76,0,0.96,1.89,0.72
136,2.67,3.9,5.25,0.73,0,0.96,1.89,0.72
137,2.5,3.87,5.25,0.77,0,0.96,1.89,0.72
138,2.5,3.86,5.25,0.77,0,0.96,1.89,0.72
139,2.5,3.83,5.25,0.78,0,0.96,1.89,0.72
140,2.5,3.8,5.25,0.8,0,0.96,1.89,0.72
141,2.4,3.76,5.2,0.83,0,0.85,1.83,0.64
142,2.4,3.75,5.12,0.81,0,0.96,1.89,0.72
143,2.4,3.72,5,0.81,0,0.81,1.83,0.66
144,2.4,3.68,4.82,0.77,0,0.81,1.83,0.66
145,2.4,3.66,4.82,0.78,0,0.81,1.83,0.66
146,2.4,3.64,4.73,0.77,0,0.81,1.83,0.66
147,2.33,3.6,4.45,0.75,0,0.81,1.83,0.66
148,2.33,3.56,4.4,0.74,0,0.81,1.83,0.66
149,2.33,3.55,4.36,0.73,0,0.81,1.83,0.66
150,2.33,3.53,4.27,0.7,0,0.81,1.83,0.66
151,2.33,3.5,4.27,0.69,0,0.81,1.83,0.66
152,2.33,3.49,4.27,0.69,0,0.81,1.83,0.66
153,2.33,3.47,4.27,0.69,0,0.81,1.83,0.66
154,2.33,3.44,4.18,0.69,0,0.81,1.83,0.66
155,2.33,3.44,4.18,0.69,0,0.81,1.83,0.66
156,2.33,3.38,4.18,0.67,0,0.81,1.83,0.66
157,2.3,3.33,4.1,0.67,0,0.81,1.83,0.66
158,2.3,3.27,4.1,0.65,0,0.81,1.83,0.66
159,2.3,3.27,4.1,0.65,0,0.81,1.83,0.66
160,2.22,3.24,4.1,0.65,0,0.81,1.83,0.66
161,2.17,3.21,4.1,0.67,0,0.81,1.83,0.66
162,2.17,3.18,4,0.66,0,0.81,1.83,0.66
163,2.17,3.14,3.91,0.64,0,0.81,1.83,0.66
164,2.17,3.12,3.91,0.63,0,0.81,1.83,0.66
165,2.17,3.11,3.91,0.63,0,0.81,1.83,0.66
166,2.17,3.11,3.91,0.63,0,0.81,1.83,0.66
167,2.11,3.08,3.91,0.63,0,0.81,1.83,0.66
168,2.1,3.07,3.91,0.62,0,0.81,1.83,0.66
169,2.1,3.06,3.91,0.63,0,0.81,1.83,0.66
170,2.1,3.01,3.91,0.62,0,0.81,1.83,0.66
171,2.1,2.99,3.91,0.62,0,0.81,1.83,0.66
172,2,2.96,3.91,0.64,0,0.81,1.83,0.66
173,1.92,2.95,3.86,0.64,0,0.63,1.54,0.6
174,1.92,2.93,3.82,0.64,0,0.81,1.83,0.66
175,1.92,2.92,3.71,0.62,0,0.63,1.54,0.6
176,1.85,2.88,3.64,0.65,0,0.78,1.83,0.7
177,1.85,2.87,3.64,0.66,0,0.81,1.83,0.66
178,1.83,2.86,3.64,0.65,0,0.81,1.83,0.66
179,1.83,2.85,3.64,0.65,0,0.81,1.83,0.66
180,1.83,2.84,3.64,0.64,0,0.81,1.83,0.66
181,1.8,2.81,3.55,0.64,0,0.81,1.83,0.66
182,1.8,2.8,3.55,0.64,0,0.81,1.83,0.66
183,1.7,2.79,3.55,0.66,0,0.81,1.83,0.66
184,1.6,2.77,3.55,0.67,0,0.74,1.83,0.7
185,1.6,2.76,3.55,0.66,0,0.65,1.83,0.65
186,1.6,2.69,3.55,0.67,0,0.65,1.83,0.65
187,1.6,2.66,3.5,0.67,0,0.48,1.51,0.53
188,1.4,2.58,3.4,0.7,0,0.48,1.51,0.53
189,1.4,2.53,3.27,0.7,0,0.48,1.51,0.53
190,1.4,2.52,3.27,0.69,0,0.48,1.51,0.53
191,1.4,2.46,3.25,0.68,0,0.48,1.51,0.53
192,1.4,2.37,3.18,0.65,0,0.48,1.51,0.53
193,1.4,2.36,3.17,0.64,0,0.48,1.51,0.53
194,1.4,2.33,3.11,0.63,0,0.48,1.51,0.53
195,1.4,2.28,3,0.6,0,0.48,1.51,0.53
196,1.4,2.25,3,0.6,0,0.37,1.51,0.5
197,1.4,2.24,3,0.59,0,0.48,1.51,0.53
198,1.4,2.23,3,0.59,0,0.4,1.51,0.52
199,1.3,2.2,3,0.6,0,0.48,1.51,0.53
200,1.3,2.17,3,0.61,0,0.48,1.51,0.53
201,1.3,2.16,3,0.61,0,0.48,1.51,0.53
