k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,9,9,9,0,5.66,5.93,6.5,0.34
1,9,9,9,0,5.66,5.93,6.5,0.34
2,9,9,9,0,5.66,6.38,8,0.96
3,9,9,9,0,0,3.73,6.5,3.42
4,9,9,9,0,0,3.73,6.5,3.42
5,9,9,9,0,0,2.48,6.5,2.94
6,9,9,9,0,0,2.48,6.5,2.94
7,9,9,9,0,0,1.01,3.78,1.64
8,9,9,9,0,0,1.01,3.78,1.64
9,9,9,9,0,0,0.25,1.24,0.56
10,9,9,9,0,0,0.25,1.24,0.56
11,9,9,9,0,0,0.25,1.24,0.56
12,9,9,9,0,0,0,0,0
13,7.92,8.32,9,0.49,0,0,0,0
14,7.92,8.25,9,0.49,0,0,0,0
15,7.91,8.08,8.67,0.33,0,0,0,0
16,7.9,7.93,8,0.04,0,0,0,0
17,7.89,7.92,8,0.05,0,0,0,0
18,7.82,7.88,7.92,0.04,0,0,0,0
19,7.75,7.84,7.91,0.06,0,0,0,0
20,7.71,7.82,7.9,0.07,0,0,0,0
21,7.67,7.78,7.89,0.09,0,0,0,0
22,7.4,7.7,7.87,0.18,0,0,0,0
23,7.25,7.62,7.86,0.23,0,0,0,0
24,7,7.4,7.83,0.38,0,0,0,0
25,7,7.33,7.8,0.34,0,0,0,0
26,6.83,7.1,7.75,0.37,0,0,0,0
27,6.82,7.01,7.67,0.37,0,0,0,0
28,6.8,6.85,7,0.08,0,0,0,0
29,6.78,6.81,6.85,0.03,0,0,0,0
30,6.7,6.76,6.82,0.04,0,0,0,0
31,6.67,6.74,6.8,0.05,0,0,0,0
32,6.57,6.67,6.78,0.08,0,0,0,0
33,6.5,6.62,6.75,0.1,0,0,0,0
34,6.4,6.54,6.71,0.12,0,0,0,0
35,6,6.38,6.67,0.25,0,0,0,0
36,6,6.24,6.6,0.25,0,0,0,0
37,5.92,6.08,6.5,0.23,0,0,0,0
38,5.77,5.99,6.33,0.22,0,0,0,0
39,5.73,5.83,6,0.11,0,0,0,0
40,5.7,5.79,5.92,0.09,0,0,0,0
41,5.67,5.72,5.77,0.04,0,0,0,0
42,5.62,5.69,5.75,0.05,0,0,0,0
43,5.56,5.63,5.73,0.07,0,0,0,0
44,5.5,5.58,5.7,0.09,0,0,0,0
45,5.2,5.47,5.67,0.18,0,0,0,0
46,5,5.37,5.62,0.24,0,0,0,0
47,4.85,5.25,5.57,0.27,0,0,0,0
48,4.77,5.1,5.5,0.28,0,0,0,0
49,4.67,5,5.4,0.26,0,0,0,0
50,4.64,4.9,5.25,0.23,0,0,0,0
51,4.6,4.81,5,0.15,0,0,0,0
52,4.56,4.71,4.85,0.12,0,0,0,0
53,4.5,4.61,4.69,0.07,0,0,0,0
54,4.43,4.57,4.67,0.09,0,0,0,0
55,4.33,4.49,4.64,0.11,0,0,0,0
56,4.2,4.42,4.6,0.15,0,0,0,0
57,4,4.32,4.56,0.21,0,0,0,0
58,3.85,4.21,4.5,0.24,0,0,0,0
59,3.77,4.08,4.43,0.25,0,0,0,0
60,3.67,3.97,4.33,0.24,0,0,0,0
61,3.64,3.89,4.2,0.2,0,0,0,0
62,3.5,3.78,4,0.18,0,0,0,0
63,3.5,3.71,3.92,0.15,0,0,0,0
64,3.44,3.67,3.85,0.15,0,0,0,0
65,3.37,3.57,3.69,0.13,0,0,0,0
66,3.29,3.46,3.58,0.11,0,0,0,0
67,3.17,3.4,3.55,0.14,0,0,0,0
68,3,3.28,3.5,0.18,0,0,0,0
69,2.92,3.19,3.44,0.19,0,0,0,0
70,2.77,3.06,3.37,0.22,0,0,0,0
71,2.69,2.96,3.29,0.21,0,0,0,0
72,2.67,2.89,3.17,0.18,0,0,0,0
73,2.5,2.78,3,0.18,0,0,0,0
74,2.45,2.71,2.92,0.17,0,0,0,0
75,2.4,2.64,2.85,0.16,0,0,0,0
76,2.33,2.58,2.77,0.16,0,0,0,0
77,2.25,2.52,2.69,0.17,0,0,0,0
78,2.14,2.41,2.58,0.18,0,0,0,0
79,2,2.27,2.45,0.17,0,0,0,0
80,1.92,2.19,2.4,0.18,0,0,0,0
81,1.85,2.06,2.33,0.18,0,0,0,0
82,1.77,1.97,2.25,0.18,0,0,0,0
83,1.62,1.87,2.14,0.19,0,0,0,0
84,1.58,1.79,2,0.15,0,0,0,0
85,1.55,1.72,1.92,0.14,0,0,0,0
86,1.3,1.61,1.85,0.2,0,0,0,0
87,1.22,1.55,1.77,0.2,0,0,0,0
88,1.12,1.49,1.69,0.22,0,0,0,0
89,1,1.4,1.62,0.24,0,0,0,0
90,1,1.36,1.58,0.22,0,0,0,0
91,0.85,1.22,1.45,0.24,0,0,0,0
92,0.77,1.06,1.3,0.2,0,0,0,0
93,0.69,0.97,1.22,0.19,0,0,0,0
94,0.62,0.87,1.12,0.18,0,0,0,0
95,0.54,0.78,1,0.17,0,0,0,0
96,0.5,0.72,0.92,0.15,0,0,0,0
97,0.45,0.64,0.85,0.14,0,0,0,0
98,0.4,0.57,0.77,0.13,0,0,0,0
99,0.11,0.46,0.69,0.21,0,0,0,0
100,0,0.4,0.62,0.23,0,0,0,0
101,0,0.35,0.54,0.21,0,0,0,0
102,0,0.28,0.5,0.19,0,0,0,0
103,0,0.23,0.45,0.18,0,0,0,0
104,0,0.11,0.3,0.12,0,0,0,0
105,0,0.02,0.11,0.05,0,0,0,0
106,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0
