k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,30,30,30,0,13.65,14.2,14.61,0.35
1,30,30,30,0,13.65,14.2,14.61,0.35
2,30,30,30,0,4.56,12.38,14.61,4.38
3,30,30,30,0,0,2.91,9.97,4.42
4,30,30,30,0,0,3.84,9.97,4.13
5,30,30,30,0,0,1.85,4.67,2.53
6,30,30,30,0,0,1.85,4.67,2.53
7,30,30,30,0,0,1.85,4.67,2.53
8,30,30,30,0,0,1.85,4.67,2.53
9,28.89,28.98,29,0.05,0,1.85,4.67,2.53
10,28.87,28.89,28.89,0.01,0,1.85,4.67,2.53
11,28.86,28.87,28.89,0.01,0,1.85,4.67,2.53
12,28.83,28.85,28.86,0.01,0,1.85,4.67,2.53
13,28.8,28.83,28.83,0.01,0,1.85,4.67,2.53
14,28.75,28.8,28.83,0.03,0,1.85,4.67,2.53
15,28.67,28.75,28.83,0.06,0,1.85,4.67,2.53
16,28.5,28.68,28.83,0.12,0,1.85,4.67,2.53
17,28,28.42,28.83,0.4,0,1.85,4.67,2.53
18,27.71,28.1,28.83,0.48,0,1.85,4.67,2.53
19,27.67,28.01,28.6,0.43,0,1.85,4.67,2.53
20,27.6,27.9,28.5,0.37,0,1.85,4.67,2.53
21,27.5,27.74,28.25,0.29,0,1.85,4.67,2.53
22,27.5,27.7,28.25,0.31,0,1.85,4.67,2.53
23,27.33,27.5,27.75,0.18,0,1.85,4.67,2.53
24,27,27.32,27.67,0.32,0,1.85,4.67,2.53
25,27,27.23,27.67,0.32,0,1.85,4.67,2.53
26,26.78,27.15,27.6,0.37,0,1.85,4.67,2.53
27,26.62,27.05,27.5,0.44,0,1.85,4.67,2.53
28,26.57,26.97,27.5,0.49,0,1.85,4.67,2.53
29,26.5,26.91,27.5,0.54,0,1.85,4.67,2.53
30,26.4,26.66,27,0.31,0,1.85,4.67,2.53
31,26.25,26.45,26.75,0.21,0,1.85,4.67,2.53
32,26,26.29,26.57,0.28,0,1.85,4.67,2.53
33,25.89,26.23,26.5,0.28,0,1.85,4.67,2.53
34,25.89,26.11,26.4,0.21,0,1.85,4.67,2.53
35,25.75,25.98,26.25,0.18,0,1.85,4.67,2.53
36,25.71,25.87,26,0.13,0,1.85,4.67,2.53
37,25.33,25.74,25.89,0.24,0,1.85,4.67,2.53
38,25.2,25.49,25.75,0.25,0,1.85,4.67,2.53
39,25,25.38,25.75,0.31,0,1.85,4.67,2.53
40,24.89,25.28,25.75,0.37,0,1.85,4.67,2.53
41,24.78,25.13,25.43,0.28,0,1.85,4.67,2.53
42,24.75,25.05,25.33,0.27,0,1.85,4.67,2.53
43,24.71,25.01,25.2,0.26,0,1.85,4.67,2.53
44,24.5,24.85,25.2,0.3,0,1.85,4.67,2.53
45,24.5,24.76,25,0.23,0,1.85,4.67,2.53
46,23.89,24.61,25,0.44,0,1.85,4.67,2.53
47,23.78,24.55,25,0.47,0,1.85,4.67,2.53
48,23.67,24.53,25,0.51,0,1.85,4.67,2.53
49,23.62,24.45,25,0.55,0,1.85,4.67,2.53
50,23.57,24.38,25,0.58,0,1.85,4.67,2.53
51,23.5,24.33,25,0.59,0,1.85,4.67,2.53
52,23.5,24.25,25,0.61,0,1.85,4.67,2.53
53,23.5,24.22,25,0.62,0,1.85,4.67,2.53
54,23.4,24.12,25,0.65,0,1.85,4.67,2.53
55,23,23.91,25,0.82,0,1.85,4.67,2.53
56,22.67,23.76,24.87,0.85,0,1.85,4.67,2.53
57,22.56,23.59,24.75,0.9,0,1.85,4.67,2.53
58,22.5,23.5,24.75,0.92,0,1.85,4.67,2.53
59,22.43,23.41,24.62,0.9,0,1.85,4.67,2.53
60,22.33,23.24,24.29,0.8,0,1.85,4.67,2.53
61,22.2,23.04,24,0.77,0,1.85,4.67,2.53
62,22,22.97,23.87,0.79,0,1.85,4.67,2.53
63,22,22.85,23.75,0.82,0,1.85,4.67,2.53
64,21.89,22.8,23.75,0.85,0,1.85,4.67,2.53
65,21.37,22.57,23.67,0.98,0,1.85,4.67,2.53
66,21.29,22.34,23.5,0.95,0,1.85,4.67,2.53
67,21.17,22.24,23.33,0.92,0,1.85,4.67,2.53
68,21,22.14,23.2,0.94,0,1.85,4.67,2.53
69,21,22.01,23,0.88,0,1.85,4.67,2.53
70,21,21.9,23,0.89,0,1.85,4.67,2.53
71,20.78,21.77,23,0.95,0,1.85,4.67,2.53
72,20.67,21.64,23,0.98,0,1.85,4.67,2.53
73,20.56,21.57,23,0.99,0,1.85,4.67,2.53
74,20.5,21.47,22.75,0.92,0,1.85,4.67,2.53
75,20.29,21.3,22.57,0.97,0,1.85,4.67,2.53
76,20.17,21.22,22.5,1,0,1.85,4.67,2.53
77,20,21.12,22.33,1.03,0,1.85,4.67,2.53
78,20,21.03,22.17,1.04,0,1.85,4.67,2.53
79,19.89,20.93,22,0.98,0,1.85,4.67,2.53
80,19.78,20.79,22,1,0,1.85,4.67,2.53
81,19.67,20.74,22,1.06,0,1.85,4.67,2.53
82,19.5,20.65,22,1.14,0,1.85,4.67,2.53
83,19.5,20.65,22,1.14,0,1.85,4.67,2.53
84,19.43,20.61,22,1.18,0,1.85,4.67,2.53
85,19.29,20.58,22,1.22,0,1.85,4.67,2.53
86,19.17,20.51,22,1.2,0,1.85,4.67,2.53
87,18.89,20.43,22,1.31,0,1.85,4.67,2.53
88,18.78,20.29,21.75,1.32,0,1.85,4.67,2.53
89,18.67,20.07,21.37,1.28,0,1.85,4.67,2.53
90,18.5,19.88,21.29,1.27,0,1.85,4.67,2.53
91,18.43,19.74,21,1.21,0,1.85,4.67,2.53
92,18.43,19.67,21,1.21,0,1.85,4.67,2.53
93,18.29,19.44,20.75,1.16,0,1.85,4.67,2.53
94,18.14,19.35,20.62,1.19,0,1.85,4.67,2.53
95,18,19.29,20.62,1.27,0,1.85,4.67,2.53
96,17.87,19.24,20.62,1.3,0,1.85,4.67,2.53
97,17.5,19.11,20.62,1.46,0,1.85,4.67,2.53
98,17.43,19.05,20.62,1.5,0,1.85,4.67,2.53
99,17.29,18.98,20.62,1.55,0,1.85,4.67,2.53
100,17.14,18.92,20.62,1.63,0,1.85,4.67,2.53
101,17,18.79,20.5,1.66,0,1.85,4.67,2.53
102,17,18.64,20.43,1.67,0,1.85,4.67,2.53
103,16.78,18.49,20.43,1.68,0,1.85,4.67,2.53
104,16.67,18.36,20,1.56,0,1.85,4.67,2.53
105,16.62,18.26,19.8,1.49,0,1.85,4.67,2.53
106,16.37,18.13,19.8,1.5,0,1.85,4.67,2.53
107,16.29,18.1,19.71,1.51,0,1.85,4.67,2.53
108,16.14,18.04,19.57,1.51,0,1.85,4.67,2.53
109,16,17.85,19.5,1.64,0,1.85,4.67,2.53
110,15.89,17.78,19.5,1.66,0,1.85,4.67,2.53
111,15.78,17.73,19.5,1.73,0,1.85,4.67,2.53
112,15.5,17.65,19.5,1.83,0,1.85,4.67,2.53
113,15.5,17.59,19.29,1.76,0,1.85,4.67,2.53
114,15.5,17.53,19.14,1.69,0,1.85,4.67,2.53
115,15.37,17.47,19,1.7,0,1.85,4.67,2.53
116,15.25,17.42,19,1.7,0,1.85,4.67,2.53
117,15.14,17.35,19,1.69,0,1.85,4.67,2.53
118,14.87,17.17,19,1.86,0,1.85,4.67,2.53
119,14.75,17.1,19,1.88,0,1.85,4.67,2.53
120,14.75,16.94,19,1.83,0,1.85,4.67,2.53
121,14.71,16.82,19,1.87,0,1.85,4.67,2.53
122,14.29,16.63,19,2.01,0,1.85,4.67,2.53
123,14.14,16.41,18.62,1.91,0,1.85,4.67,2.53
124,14,16.29,18.5,1.94,0,1.85,4.67,2.53
125,14,16.19,18.14,1.87,0,1.85,4.67,2.53
126,14,16.13,18,1.82,0,1.85,4.67,2.53
127,14,16.01,18,1.85,0,1.85,4.67,2.53
128,14,15.95,18,1.85,0,1.85,4.67,2.53
129,13.75,15.88,18,1.92,0,1.85,4.67,2.53
130,13.62,15.79,18,1.99,0,1.85,4.67,2.53
131,13.37,15.68,18,2.07,0,1.85,4.67,2.53
132,13.33,15.55,18,2.02,0,1.85,4.67,2.53
133,13.17,15.43,18,2.09,0,1.85,4.67,2.53
134,13,15.37,18,2.16,0,1.85,4.67,2.53
135,12.89,15.31,18,2.2,0,1.85,4.67,2.53
136,12.78,15.21,18,2.27,0,1.85,4.67,2.53
137,12.67,15.12,18,2.3,0,1.85,4.67,2.53
138,12.67,15.09,18,2.28,0,1.85,4.67,2.53
139,12.67,15.07,18,2.31,0,1.85,4.67,2.53
140,12.67,15.07,18,2.31,0,1.85,4.67,2.53
141,12.62,15.05,18,2.32,0,1.85,4.67,2.53
142,12.37,14.95,18,2.39,0,1.85,4.67,2.53
143,12.25,14.82,17.87,2.38,0,1.85,4.67,2.53
144,12.12,14.63,17.5,2.29,0,1.85,4.67,2.53
145,12,14.48,17.37,2.27,0,1.85,4.67,2.53
146,11.67,14.32,17.25,2.33,0,1.85,4.67,2.53
147,11.56,14.18,17,2.29,0,1.85,4.67,2.53
148,11.5,14.06,17,2.41,0,1.85,4.67,2.53
149,11.37,14.01,17,2.44,0,1.85,4.67,2.53
150,11.12,13.89,17,2.5,0,1.85,4.67,2.53
151,11,13.82,17,2.56,0,1.85,4.67,2.53
152,10.89,13.71,17,2.6,0,1.85,4.67,2.53
153,10.78,13.63,17,2.66,0,1.85,4.67,2.53
154,10.78,13.56,17,2.69,0,1.85,4.67,2.53
155,10.75,13.46,16.87,2.72,0,1.85,4.67,2.53
156,10.5,13.32,16.75,2.77,0,1.85,4.67,2.53
157,10.37,13.18,16.5,2.74,0,1.85,4.67,2.53
158,10.25,13,16.37,2.7,0,1.85,4.67,2.53
159,10.22,12.88,16.25,2.71,0,1.85,4.67,2.53
160,10.11,12.79,16.14,2.68,0,1.85,4.67,2.53
161,9.87,12.62,16,2.69,0,1.85,4.67,2.53
162,9.75,12.48,15.87,2.69,0,1.85,4.67,2.53
163,9.62,12.36,15.75,2.69,0,1.85,4.67,2.53
164,9.62,12.32,15.62,2.68,0,1.85,4.67,2.53
165,9.43,12.19,15.43,2.7,0,1.85,4.67,2.53
166,9.33,12.09,15.25,2.69,0,1.85,4.67,2.53
167,9.17,11.97,15,2.72,0,1.85,4.67,2.53
168,9,11.91,15,2.79,0,1.85,4.67,2.53
169,8.87,11.8,14.78,2.82,0,1.85,4.67,2.53
170,8.75,11.75,14.67,2.82,0,1.85,4.67,2.53
171,8.37,11.63,14.56,2.92,0,1.85,4.67,2.53
172,8.33,11.53,14.44,2.95,0,1.85,4.67,2.53
173,8.14,11.37,14.33,2.98,0,1.85,4.67,2.53
174,8,11.25,14.22,2.99,0,1.85,4.67,2.53
175,8,11.21,14.22,3.01,0,1.85,4.67,2.53
176,8,11.14,14.22,3.06,0,1.85,4.67,2.53
177,7.8,11.03,14.22,3.14,0,1.85,4.67,2.53
178,7.67,10.98,14.22,3.18,0,1.85,4.67,2.53
179,7.5,10.91,14.14,3.2,0,1.85,4.67,2.53
180,7.44,10.83,14.14,3.21,0,1.85,4.67,2.53
181,7.33,10.74,14.14,3.29,0,1.85,4.67,2.53
182,7.12,10.63,14.14,3.35,0,1.85,4.67,2.53
183,6.89,10.55,14.14,3.43,0,1.85,4.67,2.53
184,6.78,10.44,14.14,3.52,0,1.85,4.67,2.53
185,6.67,10.37,14.14,3.58,0,1.85,4.67,2.53
186,6.44,10.32,14.14,3.64,0,1.85,4.67,2.53
187,6.33,10.22,14.14,3.73,0,1.85,4.67,2.53
188,6.22,10.11,14.14,3.83,0,1.85,4.67,2.53
189,6.11,10.04,14.14,3.89,0,1.85,4.67,2.53
190,6.11,9.99,14.14,3.92,0,1.85,4.67,2.53
191,6.11,9.93,14.14,3.97,0,1.85,4.67,2.53
192,6.11,9.88,14.14,3.98,0,1.85,4.67,2.53
193,6.11,9.83,14.14,4,0,1.85,4.67,2.53
194,6.11,9.81,14.14,4.01,0,1.85,4.67,2.53
