k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,30,30,30,0,7.67,8.24,8.54,0.3
1,30,30,30,0,7.67,8.24,8.54,0.3
2,30,30,30,0,2.2,7.56,8.54,1.93
3,30,30,30,0,2.2,8.23,13.41,3.13
4,30,30,30,0,0,7.2,13.41,4.71
5,30,30,30,0,1.76,6.35,12.45,4.11
6,30,30,30,0,0,4.93,11.86,4.23
7,30,30,30,0,0,4.07,11.86,4.28
8,30,30,30,0,0,5.28,12.43,4.73
9,30,30,30,0,0,5.96,12.43,4.36
10,28.9,29.34,30,0.45,1.76,6.53,12.43,3.84
11,28.89,29.15,30,0.38,1.76,6.53,12.43,3.84
12,28.87,28.99,29.67,0.24,1.76,7.52,12.43,3.87
13,28.75,28.93,29.5,0.2,1.45,7.09,12.43,4.3
14,28.71,28.86,29,0.08,1.45,7.09,12.43,4.3
15,28.67,28.83,28.9,0.08,1.45,7.09,12.43,4.3
16,28.6,28.82,28.9,0.1,1.45,7.09,12.43,4.3
17,28.25,28.77,28.9,0.19,1.45,7.09,12.43,4.3
18,28,28.72,28.9,0.26,1.45,7.09,12.43,4.3
19,28,28.68,28.89,0.26,1.45,7.09,12.43,4.3
20,28,28.61,28.87,0.29,1.45,7.09,12.43,4.3
21,28,28.55,28.87,0.34,1.45,7.09,12.43,4.3
22,28,28.47,28.87,0.38,1.45,7.09,12.43,4.3
23,27.75,28.37,28.87,0.46,1.45,7.09,12.43,4.3
24,27.71,28.31,28.87,0.49,1.45,7.09,12.43,4.3
25,27.67,28.21,28.87,0.48,1.45,6.67,12.43,4.63
26,27.67,28.12,28.87,0.46,1.45,7.09,12.43,4.3
27,27.67,28.07,28.87,0.42,1.45,7.09,12.43,4.3
28,27.67,28,28.87,0.41,1.45,7.09,12.43,4.3
29,27.5,27.95,28.87,0.42,1.45,7.09,12.43,4.3
30,27.2,27.85,28.71,0.42,1.45,7.09,12.43,4.3
31,27,27.76,28.67,0.45,1.45,7.09,12.43,4.3
32,27,27.65,28.4,0.35,1.45,7.09,12.43,4.3
33,27,27.61,28.4,0.37,1.45,7.09,12.43,4.3
34,27,27.55,28.4,0.41,1.45,7.09,12.43,4.3
35,26.78,27.42,28.4,0.49,1.45,7.09,12.43,4.3
36,26.57,27.31,28.4,0.57,1.45,7.09,12.43,4.3
37,26.33,27.27,28.4,0.61,1.45,7.09,12.43,4.3
38,26,27.18,28.4,0.7,1.45,7.09,12.43,4.3
39,26,27.11,28.4,0.73,1.45,7.09,12.43,4.3
40,26,27.01,27.8,0.63,1.45,7.09,12.43,4.3
41,26,27,27.8,0.64,1.45,7.09,12.43,4.3
42,26,26.94,27.8,0.65,1.45,7.09,12.43,4.3
43,26,26.84,27.75,0.63,1.45,7.09,12.43,4.3
44,26,26.84,27.75,0.63,1.45,7.09,12.43,4.3
45,26,26.8,27.75,0.59,1.45,7.09,12.43,4.3
46,26,26.79,27.75,0.6,1.45,7.09,12.43,4.3
47,26,26.77,27.75,0.6,1.45,7.09,12.43,4.3
48,26,26.73,27.75,0.64,1.45,7.09,12.43,4.3
49,26,26.66,27.75,0.6,1.45,7.09,12.43,4.3
50,26,26.56,27.56,0.53,1.45,7.09,12.43,4.3
51,26,26.52,27.5,0.48,1.45,7.09,12.43,4.3
52,26,26.51,27.5,0.48,1.45,7.09,12.43,4.3
53,26,26.47,27.5,0.45,1.45,7.09,12.43,4.3
54,26,26.44,27.5,0.44,1.45,7.09,12.43,4.3
55,25,26.27,27.5,0.63,1.45,7.09,12.43,4.3
56,25,26.27,27.5,0.63,1.45,7.09,12.43,4.3
57,25,26.14,27.5,0.73,1.45,7.09,12.43,4.3
58,25,26.08,27.5,0.75,1.45,7.09,12.43,4.3
59,25,26.01,27.5,0.76,1.45,7.09,12.43,4.3
60,25,25.9,27.5,0.78,1.45,7.09,12.43,4.3
61,25,25.8,27.5,0.78,1.45,7.09,12.43,4.3
62,25,25.79,27.5,0.78,1.45,7.09,12.43,4.3
63,25,25.71,27.5,0.78,1.45,7.09,12.43,4.3
64,25,25.61,27.5,0.76,1.45,7.09,12.43,4.3
65,24,25.42,27.5,0.88,1.45,7.09,12.43,4.3
66,24,25.31,27.5,0.88,1.45,7.09,12.43,4.3
67,24,25.31,27.5,0.88,1.45,7.09,12.43,4.3
68,24,25.23,27.5,0.9,1.45,7.09,12.43,4.3
69,24,25.19,27.5,0.94,1.45,7.09,12.43,4.3
70,24,24.97,27.5,1.05,1.45,7.09,12.43,4.3
71,24,24.86,27.25,0.98,1.45,7.09,12.43,4.3
72,24,24.85,27.25,0.99,1.45,7.09,12.43,4.3
73,23.8,24.8,27.25,1.03,1.45,7.09,12.43,4.3
74,23.67,24.79,27.25,1.04,1.45,7.09,12.43,4.3
75,23.62,24.73,27.25,1.04,1.45,7.09,12.43,4.3
76,23.62,24.66,26.75,0.93,1.45,7.09,12.43,4.3
77,22.5,24.43,26.71,1.13,1.45,7.09,12.43,4.3
78,22.33,24.38,26.67,1.15,1.45,7.09,12.43,4.3
79,22.29,24.27,26.4,1.12,1.45,7.09,12.43,4.3
80,22.17,24.22,26.37,1.15,1.45,7.09,12.43,4.3
81,22,24.14,26.25,1.17,1.45,7.09,12.43,4.3
82,22,24.13,26.12,1.15,1.45,7.09,12.43,4.3
83,22,24.11,26.12,1.16,1.45,7.09,12.43,4.3
84,22,24.07,26.12,1.17,1.45,7.09,12.43,4.3
85,21.9,24.01,26,1.19,1.45,7.09,12.43,4.3
86,21.9,23.98,25.87,1.17,1.45,7.09,12.43,4.3
87,21.9,23.92,25.75,1.18,1.45,7.09,12.43,4.3
88,21.89,23.88,25.62,1.13,1.45,7.09,12.43,4.3
89,21.89,23.79,25.57,1.11,1.45,7.09,12.43,4.3
90,21.89,23.69,25.5,1.08,1.45,7.09,12.43,4.3
91,21.8,23.66,25.5,1.08,1.45,7.09,12.43,4.3
92,21.8,23.65,25.4,1.07,1.45,7.09,12.43,4.3
93,21.8,23.58,25.29,1.04,1.45,7.09,12.43,4.3
94,21.8,23.44,25,1.01,1.45,7.09,12.43,4.3
95,21.8,23.44,25,1.01,1.45,7.09,12.43,4.3
96,21.8,23.38,24.8,0.96,1.45,7.09,12.43,4.3
97,21.67,23.34,24.8,0.98,1.45,7.09,12.43,4.3
98,21.44,23.29,24.8,1.01,1.45,7.09,12.43,4.3
99,21.25,23.26,24.8,1.05,1.45,7.09,12.43,4.3
100,21.14,23.18,24.8,1.08,1.45,7.09,12.43,4.3
101,21,23.16,24.8,1.11,1.45,7.09,12.43,4.3
102,20.78,23.11,24.8,1.14,1.45,7.09,12.43,4.3
103,20.75,22.98,24.8,1.22,1.45,7.09,12.43,4.3
104,20.75,22.95,24.8,1.24,1.45,7.09,12.43,4.3
105,20.75,22.92,24.8,1.26,1.45,7.09,12.43,4.3
106,20.6,22.87,24.8,1.31,1.45,7.09,12.43,4.3
107,20.5,22.82,24.8,1.36,1.45,7.09,12.43,4.3
108,20.25,22.72,24.8,1.43,1.45,7.09,12.43,4.3
109,20.25,22.72,24.8,1.43,1.45,7.09,12.43,4.3
110,20.12,22.68,24.75,1.43,1.45,7.09,12.43,4.3
