Limited (×1.1) MAX, m = 14, n = 9, k = 500, nbRuns = 10.json
Run: MMR>0 56 qC, 382 qV -- MMR=0 62 qC, 0 qV.
Run: MMR>0 61 qC, 355 qV -- MMR=0 84 qC, 0 qV.
Run: MMR>0 0 qC, 292 qV -- MMR=0 101 qC, 107 qV.
Run: MMR>0 74 qC, 393 qV -- MMR=0 33 qC, 0 qV.
Run: MMR>0 61 qC, 397 qV -- MMR=0 42 qC, 0 qV.
Run: MMR>0 0 qC, 306 qV -- MMR=0 97 qC, 97 qV.
Run: MMR>0 89 qC, 387 qV -- MMR=0 24 qC, 0 qV.
Run: MMR>0 63 qC, 390 qV -- MMR=0 47 qC, 0 qV.
Run: MMR>0 79 qC, 409 qV -- MMR=0 12 qC, 0 qV.
Run: MMR>0 100 qC, 398 qV -- MMR=0 2 qC, 0 qV.
Limited (×1.0) MAX, m = 14, n = 9, k = 500, nbRuns = 10.json
Run: MMR>0 37 qC, 337 qV -- MMR=0 118 qC, 8 qV.
Run: MMR>0 76 qC, 354 qV -- MMR=0 66 qC, 4 qV.
Run: MMR>0 5 qC, 269 qV -- MMR=0 210 qC, 16 qV.
Run: MMR>0 103 qC, 321 qV -- MMR=0 71 qC, 5 qV.
Run: MMR>0 45 qC, 379 qV -- MMR=0 68 qC, 8 qV.
Run: MMR>0 23 qC, 320 qV -- MMR=0 143 qC, 14 qV.
Run: MMR>0 59 qC, 277 qV -- MMR=0 145 qC, 19 qV.
Run: MMR>0 69 qC, 344 qV -- MMR=0 79 qC, 8 qV.
Run: MMR>0 79 qC, 337 qV -- MMR=0 78 qC, 6 qV.
Run: MMR>0 132 qC, 348 qV -- MMR=0 19 qC, 1 qV.
Limited (×1.0 +1e-6) MAX, m = 14, n = 9, k = 500, nbRuns = 10.json
Run: MMR>0 35 qC, 377 qV -- MMR=0 88 qC, 0 qV.
Run: MMR>0 105 qC, 395 qV -- MMR=0 0 qC, 0 qV.
Run: MMR>0 0 qC, 289 qV -- MMR=0 122 qC, 89 qV.
Run: MMR>0 96 qC, 374 qV -- MMR=0 30 qC, 0 qV.
Run: MMR>0 43 qC, 374 qV -- MMR=0 83 qC, 0 qV.
Run: MMR>0 0 qC, 296 qV -- MMR=0 119 qC, 85 qV.
Run: MMR>0 67 qC, 383 qV -- MMR=0 50 qC, 0 qV.
Run: MMR>0 66 qC, 427 qV -- MMR=0 7 qC, 0 qV.
Run: MMR>0 72 qC, 374 qV -- MMR=0 54 qC, 0 qV.
Run: MMR>0 106 qC, 392 qV -- MMR=0 2 qC, 0 qV.
Limited (×1.1) MAX, skate.soc, k = 120, nbRuns = 10.json
Run: MMR>0 0 qC, 105 qV -- MMR=0 0 qC, 15 qV.
Run: MMR>0 0 qC, 108 qV -- MMR=0 0 qC, 12 qV.
Run: MMR>0 0 qC, 101 qV -- MMR=0 0 qC, 19 qV.
Run: MMR>0 0 qC, 103 qV -- MMR=0 0 qC, 17 qV.
Run: MMR>0 0 qC, 104 qV -- MMR=0 0 qC, 16 qV.
Run: MMR>0 0 qC, 102 qV -- MMR=0 0 qC, 18 qV.
Run: MMR>0 0 qC, 100 qV -- MMR=0 0 qC, 20 qV.
Run: MMR>0 0 qC, 104 qV -- MMR=0 0 qC, 16 qV.
Run: MMR>0 0 qC, 103 qV -- MMR=0 0 qC, 17 qV.
Run: MMR>0 0 qC, 103 qV -- MMR=0 0 qC, 17 qV.
Limited (×1.0) MAX, skate.soc, k = 120, nbRuns = 10.json
Run: MMR>0 1 qC, 103 qV -- MMR=0 15 qC, 1 qV.
Run: MMR>0 5 qC, 103 qV -- MMR=0 12 qC, 0 qV.
Run: MMR>0 3 qC, 102 qV -- MMR=0 14 qC, 1 qV.
Run: MMR>0 1 qC, 103 qV -- MMR=0 13 qC, 3 qV.
Run: MMR>0 2 qC, 100 qV -- MMR=0 14 qC, 4 qV.
Run: MMR>0 2 qC, 100 qV -- MMR=0 16 qC, 2 qV.
Run: MMR>0 1 qC, 104 qV -- MMR=0 12 qC, 3 qV.
Run: MMR>0 1 qC, 101 qV -- MMR=0 16 qC, 2 qV.
Run: MMR>0 2 qC, 107 qV -- MMR=0 10 qC, 1 qV.
Run: MMR>0 0 qC, 100 qV -- MMR=0 17 qC, 3 qV.
Limited (×1.0 +1e-6) MAX, skate.soc, k = 120, nbRuns = 5.json
Run: MMR>0 0 qC, 105 qV -- MMR=0 0 qC, 15 qV.
Run: MMR>0 0 qC, 104 qV -- MMR=0 0 qC, 16 qV.
Run: MMR>0 0 qC, 106 qV -- MMR=0 0 qC, 14 qV.
Run: MMR>0 0 qC, 105 qV -- MMR=0 0 qC, 15 qV.
Run: MMR>0 0 qC, 100 qV -- MMR=0 0 qC, 20 qV.
Limited (×1.1) MAX, sushi_short.soc, k = 800, nbRuns = 10.json
Run: MMR>0 0 qC, 370 qV -- MMR=0 0 qC, 430 qV.
Run: MMR>0 0 qC, 392 qV -- MMR=0 0 qC, 408 qV.
Run: MMR>0 0 qC, 363 qV -- MMR=0 0 qC, 437 qV.
Run: MMR>0 0 qC, 374 qV -- MMR=0 0 qC, 426 qV.
Run: MMR>0 0 qC, 381 qV -- MMR=0 0 qC, 419 qV.
Run: MMR>0 0 qC, 382 qV -- MMR=0 0 qC, 418 qV.
Run: MMR>0 0 qC, 372 qV -- MMR=0 0 qC, 428 qV.
Run: MMR>0 0 qC, 371 qV -- MMR=0 0 qC, 429 qV.
Run: MMR>0 0 qC, 381 qV -- MMR=0 0 qC, 419 qV.
Run: MMR>0 0 qC, 378 qV -- MMR=0 0 qC, 422 qV.
Limited (×1.0) MAX, sushi_short.soc, k = 450, nbRuns = 10.json
