k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,12,12,12,0,0.81,1.78,3.06,0.61
1,12,12,12,0,0.81,1.78,3.06,0.61
2,12,12,12,0,0,1.37,4.4,1.19
3,12,12,12,0,0,1.27,3.43,1.03
4,12,12,12,0,0,1.16,3.01,0.99
5,12,12,12,0,0,1.2,3.01,0.99
6,12,12,12,0,0,1,3.01,0.95
7,10.86,10.86,10.86,0,0,0.94,3.01,0.96
8,10.67,10.83,10.86,0.05,0,0.94,3.01,0.96
9,10.4,10.81,10.86,0.09,0,0.94,3.01,0.96
10,10.4,10.79,10.86,0.1,0,0.94,3.01,0.96
11,10.33,10.77,10.86,0.12,0,0.94,3.01,0.96
12,10,10.74,10.86,0.17,0,0.94,3.01,0.96
13,10,10.72,10.86,0.17,0,0.94,3.01,0.96
14,9.67,10.65,10.86,0.29,0,0.94,3.01,0.96
15,9.67,10.61,10.86,0.31,0,0.94,3.01,0.96
16,9.67,10.52,10.86,0.37,0,0.94,3.01,0.96
17,9.4,10.44,10.83,0.45,0,0.94,3.01,0.96
18,9.25,10.41,10.83,0.46,0,0.94,3.01,0.96
19,9,10.33,10.83,0.5,0,0.93,3.01,0.97
20,9,10.29,10.83,0.52,0,0.86,3.01,0.96
21,9,10.24,10.83,0.55,0,0.86,3.01,0.96
22,9,10.19,10.83,0.56,0,0.83,3.01,0.94
23,9,10.14,10.8,0.59,0,0.91,3.01,0.96
24,8.57,10.02,10.8,0.63,0,0.92,3.01,0.98
25,8.5,9.94,10.8,0.63,0,0.93,3.01,0.97
26,8.5,9.88,10.8,0.65,0,0.93,3.01,0.97
27,8.5,9.79,10.8,0.62,0,0.92,3.01,0.98
28,8.5,9.75,10.8,0.61,0,0.93,3.01,0.97
29,8,9.65,10.8,0.65,0,0.91,3.01,0.99
30,7.86,9.58,10.8,0.65,0,0.97,3.4,1.04
31,7.71,9.47,10.75,0.73,0,0.9,3.4,0.96
32,7.57,9.34,10.67,0.69,0,0.85,3.4,0.99
33,7.17,9.23,10.67,0.69,0,0.86,3.4,0.98
34,7.17,9.18,10.5,0.72,0,0.87,3.4,1.01
35,7.17,9.09,10.25,0.72,0,0.85,3.4,1.02
36,7.17,9.01,10.25,0.76,0,0.76,2.9,0.9
37,7.17,8.91,10.25,0.74,0,0.76,2.9,0.9
38,7.17,8.86,10,0.73,0,0.73,2.9,0.9
39,7.17,8.78,10,0.71,0,0.73,2.9,0.9
40,7.17,8.65,10,0.73,0,0.78,2.9,0.92
41,7.17,8.57,9.83,0.68,0,0.73,2.9,0.9
42,6.83,8.46,9.5,0.68,0,0.73,2.9,0.9
43,6.5,8.37,9.5,0.71,0,0.73,2.9,0.9
44,6.5,8.29,9.5,0.74,0,0.71,2.9,0.91
45,6.33,8.25,9.5,0.75,0,0.71,2.9,0.91
46,6.33,8.14,9.2,0.76,0,0.71,2.9,0.91
47,6,8.04,9.2,0.81,0,0.71,2.9,0.91
48,6,7.97,9.2,0.81,0,0.71,2.9,0.91
49,6,7.93,9.2,0.81,0,0.64,2.9,0.87
50,6,7.82,9,0.81,0,0.64,2.9,0.87
51,6,7.78,9,0.82,0,0.64,2.9,0.87
52,6,7.64,9,0.82,0,0.64,2.9,0.87
53,6,7.56,9,0.81,0,0.7,2.9,0.93
54,6,7.47,8.8,0.8,0,0.73,2.9,0.92
55,5.71,7.37,8.8,0.8,0,0.73,2.9,0.92
56,5.71,7.28,8.8,0.8,0,0.7,2.9,0.93
57,5.5,7.23,8.8,0.83,0,0.7,2.9,0.93
58,5.2,7.15,8.8,0.88,0,0.7,2.9,0.93
59,5,7.07,8.8,0.91,0,0.7,2.9,0.93
60,5,7.04,8.8,0.91,0,0.7,2.9,0.93
61,4.86,6.98,8.8,0.94,0,0.72,2.9,0.86
62,4.86,6.93,8.8,0.96,0,0.66,2.9,0.88
63,4.57,6.8,8.6,0.95,0,0.74,2.9,0.92
64,4.57,6.69,8,0.96,0,0.7,2.9,0.93
65,4.57,6.6,8,0.93,0,0.7,2.9,0.93
66,4.29,6.46,7.67,0.88,0,0.72,2.9,0.92
67,4.14,6.4,7.67,0.92,0,0.72,2.9,0.92
68,4,6.3,7.67,0.92,0,0.7,2.9,0.93
69,4,6.23,7.67,0.95,0,0.7,2.9,0.93
70,4,6.13,7.67,1,0,0.7,2.9,0.93
71,4,6.03,7.5,0.97,0,0.7,2.9,0.93
72,4,5.9,7.5,0.98,0,0.63,2.9,0.89
73,4,5.86,7.5,0.98,0,0.63,2.9,0.89
74,4,5.82,7.5,0.98,0,0.63,2.9,0.89
75,3.86,5.75,7.5,0.98,0,0.63,2.9,0.89
76,3.71,5.67,7.5,1.02,0,0.55,2.9,0.83
77,3.43,5.55,7.5,1.07,0,0.55,2.9,0.83
78,3.43,5.48,7.33,1.06,0,0.55,2.9,0.83
79,3.43,5.43,7.33,1.06,0,0.55,2.9,0.83
80,3.43,5.35,7.33,1.04,0,0.55,2.9,0.83
81,3.43,5.31,7.33,1.05,0,0.55,2.9,0.83
82,3.43,5.26,7.33,1.04,0,0.55,2.9,0.83
83,3.29,5.19,7.33,1.08,0,0.55,2.9,0.83
84,3.14,5.15,7.33,1.13,0,0.55,2.9,0.83
85,3,5.1,7.33,1.15,0,0.55,2.9,0.83
86,3,5.07,7.33,1.15,0,0.55,2.9,0.83
87,2.83,5.02,7.17,1.18,0,0.55,2.9,0.83
88,2.57,4.95,7.17,1.19,0,0.55,2.9,0.83
89,2.57,4.88,7.17,1.18,0,0.55,2.9,0.83
90,2.57,4.79,7,1.19,0,0.55,2.9,0.83
91,2.43,4.76,7,1.21,0,0.55,2.9,0.83
92,2.43,4.71,7,1.22,0,0.55,2.9,0.83
93,2.29,4.61,7,1.21,0,0.55,2.9,0.83
94,2.14,4.52,7,1.17,0,0.46,2.9,0.72
95,2.14,4.48,7,1.18,0,0.46,2.9,0.72
96,2,4.45,6.75,1.17,0,0.36,1.85,0.56
97,1.89,4.38,6.6,1.19,0,0.36,1.85,0.56
98,1.89,4.28,6.57,1.19,0,0.36,1.85,0.56
99,1.89,4.19,6.25,1.21,0,0.36,1.85,0.56
100,1.89,4.14,6.2,1.19,0,0.36,1.85,0.56
101,1.89,4.09,6.2,1.18,0,0.36,1.85,0.56
102,1.71,4.04,6.2,1.16,0,0.33,1.85,0.55
103,1.71,3.99,6.2,1.16,0,0.33,1.85,0.55
104,1.71,3.92,6.2,1.19,0,0.33,1.85,0.55
105,1.71,3.85,6,1.16,0,0.36,1.85,0.56
106,1.71,3.78,6,1.12,0,0.33,1.85,0.55
107,1.71,3.75,6,1.12,0,0.33,1.85,0.55
108,1.71,3.69,6,1.11,0,0.33,1.85,0.55
109,1.71,3.66,6,1.12,0,0.33,1.85,0.55
110,1.71,3.59,6,1.11,0,0.33,1.85,0.55
111,1.71,3.5,6,1.13,0,0.33,1.85,0.55
112,1.71,3.41,6,1.1,0,0.33,1.85,0.55
113,1.57,3.38,6,1.1,0,0.33,1.85,0.55
114,1.43,3.32,6,1.08,0,0.33,1.85,0.55
115,1.38,3.25,6,1.09,0,0.33,1.85,0.55
116,1.29,3.21,6,1.1,0,0.3,1.85,0.54
117,1.29,3.14,6,1.1,0,0.3,1.85,0.54
118,1.29,3.11,5.8,1.08,0,0.3,1.85,0.54
119,1.29,3.1,5.6,1.06,0,0.3,1.85,0.54
120,1.29,3.08,5.6,1.05,0,0.3,1.85,0.54
121,1.29,3.05,5.6,1.05,0,0.33,1.85,0.55
122,1.29,3,5,1,0,0.29,1.82,0.48
123,1.29,2.94,5,1.02,0,0.29,1.82,0.48
124,1.29,2.9,5,0.99,0,0.29,1.82,0.48
125,1.17,2.84,5,0.99,0,0.28,1.82,0.49
126,1.17,2.81,5,1,0,0.29,1.82,0.48
127,1.14,2.75,5,0.99,0,0.28,1.82,0.49
128,1,2.69,5,1.02,0,0.28,1.82,0.49
129,0.86,2.65,5,1.03,0,0.28,1.82,0.49
130,0.86,2.59,4.83,1.04,0,0.27,1.82,0.47
131,0.86,2.53,4.5,1.03,0,0.22,1.61,0.39
132,0.86,2.45,4.32,0.99,0,0.28,1.82,0.49
133,0.71,2.4,4,0.98,0,0.26,1.82,0.48
134,0.71,2.33,4,0.97,0,0.26,1.82,0.48
135,0.71,2.26,4,0.97,0,0.26,1.82,0.48
136,0.71,2.22,4,0.96,0,0.19,1.61,0.38
137,0.71,2.2,4,0.96,0,0.19,1.61,0.38
138,0.71,2.15,4,0.96,0,0.19,1.61,0.38
139,0.71,2.11,4,0.96,0,0.19,1.61,0.38
140,0.71,2.08,4,0.97,0,0.18,1.61,0.38
141,0.57,2.06,4,0.97,0,0.18,1.61,0.38
142,0.43,2.03,4,0.99,0,0.18,1.61,0.38
143,0.43,1.98,4,0.97,0,0.18,1.61,0.38
144,0.43,1.95,4,0.98,0,0.18,1.61,0.38
145,0.43,1.92,3.96,0.99,0,0.18,1.61,0.38
146,0.43,1.9,3.96,0.97,0,0.18,1.61,0.38
147,0.32,1.85,3.96,1,0,0.18,1.61,0.38
148,0.32,1.83,3.94,1,0,0.18,1.61,0.38
149,0.32,1.79,3.83,1,0,0.16,1.61,0.34
150,0.24,1.72,3.57,0.93,0,0.18,1.61,0.38
151,0.24,1.69,3.57,0.92,0,0.18,1.61,0.38
152,0.24,1.65,3.57,0.92,0,0.18,1.61,0.38
153,0.08,1.61,3.57,0.92,0,0.18,1.61,0.38
154,0,1.58,3.57,0.92,0,0.18,1.61,0.38
155,0,1.54,3.57,0.92,0,0.18,1.61,0.38
156,0,1.5,3.57,0.91,0,0.17,1.61,0.36
157,0,1.46,3.57,0.89,0,0.17,1.61,0.36
158,0,1.41,3.57,0.88,0,0.17,1.61,0.36
159,0,1.39,3.57,0.89,0,0.17,1.61,0.36
160,0,1.36,3.43,0.88,0,0.17,1.61,0.36
161,0,1.33,3.43,0.89,0,0.16,1.61,0.36
162,0,1.31,3.43,0.89,0,0.16,1.61,0.36
163,0,1.29,3.43,0.89,0,0.16,1.61,0.36
164,0,1.27,3.29,0.87,0,0.16,1.61,0.36
165,0,1.22,3.29,0.88,0,0.18,1.61,0.37
166,0,1.16,3.29,0.86,0,0.16,1.61,0.36
167,0,1.12,3.29,0.84,0,0.11,1.61,0.32
168,0,1.07,3.29,0.85,0,0.13,1.61,0.33
169,0,1.05,3.29,0.85,0,0.11,1.61,0.32
170,0,1,3.29,0.84,0,0.11,1.61,0.32
171,0,0.93,3,0.8,0,0.11,1.61,0.32
172,0,0.9,3,0.8,0,0.11,1.61,0.32
173,0,0.87,3,0.78,0,0.11,1.61,0.31
174,0,0.84,3,0.76,0,0.11,1.61,0.31
175,0,0.83,3,0.76,0,0.11,1.61,0.31
176,0,0.81,3,0.77,0,0.11,1.61,0.31
177,0,0.76,2.86,0.74,0,0.11,1.61,0.31
178,0,0.75,2.86,0.75,0,0.11,1.61,0.31
179,0,0.72,2.71,0.73,0,0.11,1.61,0.31
180,0,0.68,2.67,0.73,0,0.07,0.49,0.15
181,0,0.66,2.67,0.72,0,0.07,0.49,0.15
182,0,0.63,2.67,0.69,0,0.07,0.49,0.15
183,0,0.59,2.05,0.61,0,0.04,0.46,0.13
184,0,0.54,2.05,0.58,0,0.05,0.46,0.13
185,0,0.5,2,0.54,0,0.05,0.46,0.13
186,0,0.47,2,0.53,0,0.04,0.46,0.13
187,0,0.44,2,0.53,0,0.04,0.46,0.13
188,0,0.41,1.86,0.5,0,0.04,0.46,0.13
189,0,0.37,1.86,0.48,0,0.03,0.46,0.11
190,0,0.36,1.83,0.47,0,0.03,0.46,0.11
191,0,0.34,1.83,0.46,0,0.03,0.46,0.11
192,0,0.31,1.57,0.41,0,0.02,0.46,0.08
193,0,0.28,1.57,0.4,0,0.02,0.46,0.08
194,0,0.27,1.57,0.4,0,0.02,0.46,0.08
195,0,0.25,1.57,0.38,0,0.02,0.46,0.08
196,0,0.23,1.57,0.38,0,0.02,0.46,0.08
197,0,0.22,1.5,0.37,0,0.02,0.46,0.08
198,0,0.2,1.33,0.34,0,0.02,0.46,0.08
199,0,0.18,1.33,0.33,0,0.02,0.46,0.08
200,0,0.17,1.33,0.32,0,0.02,0.46,0.08
201,0,0.16,1.19,0.3,0,0.02,0.46,0.08
202,0,0.15,1.19,0.3,0,0.02,0.46,0.08
203,0,0.14,1.19,0.29,0,0.02,0.46,0.08
204,0,0.13,1.19,0.28,0,0.02,0.46,0.08
205,0,0.12,1.14,0.27,0,0.02,0.46,0.08
206,0,0.11,1.07,0.26,0,0.02,0.46,0.08
207,0,0.11,1.07,0.26,0,0.02,0.46,0.08
208,0,0.1,1,0.23,0,0,0,0
209,0,0.09,0.95,0.22,0,0.02,0.46,0.08
210,0,0.07,0.64,0.17,0,0,0,0
211,0,0.07,0.64,0.17,0,0,0,0
212,0,0.06,0.64,0.17,0,0,0,0
213,0,0.06,0.64,0.17,0,0,0,0
214,0,0.05,0.53,0.13,0,0,0,0
215,0,0.04,0.44,0.12,0,0,0,0
216,0,0.04,0.44,0.12,0,0,0,0
217,0,0.04,0.44,0.11,0,0,0,0
218,0,0.04,0.44,0.11,0,0,0,0
219,0,0.03,0.44,0.1,0,0,0,0
220,0,0.03,0.44,0.1,0,0,0,0
221,0,0.03,0.36,0.08,0,0,0,0
222,0,0.03,0.29,0.07,0,0,0,0
223,0,0.03,0.29,0.07,0,0,0,0
224,0,0.03,0.28,0.07,0,0,0.04,0.01
225,0,0.02,0.22,0.05,0,0,0.04,0.01
226,0,0.02,0.16,0.04,0,0,0.04,0.01
227,0,0.02,0.16,0.04,0,0,0.04,0.01
228,0,0.01,0.16,0.04,0,0,0.04,0.01
229,0,0.01,0.16,0.04,0,0,0.04,0.01
230,0,0.01,0.16,0.04,0,0,0.04,0.01
231,0,0.01,0.16,0.04,0,0,0.04,0.01
232,0,0.01,0.16,0.04,0,0,0.04,0.01
233,0,0.01,0.16,0.04,0,0,0.04,0.01
234,0,0.01,0.16,0.03,0,0,0,0
235,0,0.01,0.16,0.03,0,0,0,0
236,0,0.01,0.16,0.03,0,0,0,0
237,0,0.01,0.16,0.03,0,0,0,0
238,0,0,0.1,0.02,0,0,0,0
239,0,0,0.1,0.02,0,0,0,0
240,0,0,0.06,0.01,0,0,0,0
241,0,0,0.04,0.01,0,0,0,0
242,0,0,0.03,0.01,0,0,0,0
243,0,0,0.02,0,0,0,0,0
244,0,0,0.01,0,0,0,0,0
245,0,0,0.01,0,0,0,0,0
246,0,0,0.01,0,0,0,0,0
247,0,0,0.01,0,0,0,0,0
248,0,0,0.01,0,0,0,0,0
249,0,0,0.01,0,0,0,0,0
250,0,0,0,0,0,0,0,0
