k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,0.98,2.51,4.55,1.12
1,20,20,20,0,0.98,2.51,4.55,1.12
2,20,20,20,0,0.98,2.28,5.5,1.25
3,20,20,20,0,0,2,4.37,1.29
4,20,20,20,0,0,2.38,5.6,1.74
5,20,20,20,0,0.29,2.54,5.6,1.56
6,20,20,20,0,0.29,2.57,5.6,1.57
7,20,20,20,0,0.29,2.32,7.03,1.67
8,20,20,20,0,0.29,2.23,5.6,1.37
9,18.89,19.3,20,0.44,0.29,2.13,4.14,1.18
10,18.87,19.01,20,0.27,0,2.04,4.14,1.27
11,18.75,18.92,19.5,0.15,0,2.04,4.14,1.27
12,18.71,18.87,19,0.06,0,2.09,4.14,1.31
13,18.67,18.83,18.89,0.07,0,1.92,4.14,1.35
14,18.67,18.82,18.89,0.07,0,1.92,4.14,1.35
15,18.6,18.79,18.87,0.08,0,1.92,4.14,1.35
16,18.6,18.76,18.87,0.09,0,1.92,4.14,1.35
17,18,18.67,18.87,0.2,0,1.92,4.14,1.35
18,18,18.64,18.86,0.23,0,1.92,4.14,1.35
19,17.71,18.53,18.86,0.36,0,1.92,4.14,1.35
20,17.67,18.48,18.86,0.39,0,1.92,4.14,1.35
21,17.67,18.43,18.86,0.42,0,1.92,4.14,1.35
22,17.67,18.38,18.86,0.41,0,1.92,4.14,1.35
23,17.6,18.31,18.83,0.44,0,1.95,4.14,1.38
24,17.6,18.18,18.83,0.46,0,1.95,4.14,1.38
25,17.5,18.09,18.83,0.43,0,1.95,4.14,1.38
26,17.33,17.9,18.71,0.42,0,1.95,4.14,1.38
27,17.33,17.79,18.71,0.37,0,1.95,4.14,1.38
28,16.87,17.73,18.71,0.44,0,1.95,4.14,1.38
29,16.57,17.68,18.71,0.48,0,1.92,4.14,1.35
30,16.5,17.63,18.67,0.46,0,1.92,4.14,1.35
31,16.4,17.56,18.5,0.45,0,1.92,4.14,1.35
32,16.25,17.45,18.5,0.44,0,1.92,4.14,1.35
33,16.25,17.41,18.4,0.42,0,1.92,4.14,1.35
