k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,0.98,2.51,4.55,1.12
1,20,20,20,0,0.98,2.51,4.55,1.12
2,20,20,20,0,0,2.21,4.56,1.32
3,20,20,20,0,0,1.89,4.55,1.46
4,20,20,20,0,0,2.02,6.95,1.83
5,20,20,20,0,0,2.04,6.95,1.91
6,20,20,20,0,0,1.98,6.95,1.9
7,20,20,20,0,0,2.02,6.95,2.04
8,20,20,20,0,0,2.48,6.95,1.98
9,18.89,19.27,20,0.44,0,2.13,6.95,2.02
10,18.87,19.03,20,0.29,0,2.06,6.95,2.02
11,18.75,18.89,19,0.06,0,2.06,6.95,2.02
12,18.71,18.87,18.89,0.04,0,2.06,6.95,2.02
13,18.5,18.83,18.89,0.09,0,2.06,6.95,2.02
14,18.4,18.79,18.89,0.11,0,2.06,6.95,2.02
15,18.25,18.73,18.87,0.16,0,2.06,6.95,2.02
16,18,18.67,18.87,0.22,0,2.06,6.95,2.02
17,18,18.61,18.87,0.27,0,2.06,6.95,2.02
18,18,18.54,18.87,0.31,0,2.06,6.95,2.02
19,17.75,18.45,18.83,0.36,0,2.06,6.95,2.02
20,17.57,18.38,18.83,0.38,0,2.06,6.95,2.02
21,17.57,18.23,18.8,0.43,0,2.06,6.95,2.02
22,17.57,18.13,18.8,0.43,0,2.06,6.95,2.02
23,17.57,18.02,18.8,0.43,0,2.06,6.95,2.02
24,17.5,17.96,18.8,0.43,0,2.06,6.95,2.02
25,17,17.9,18.8,0.49,0,2.06,6.95,2.02
26,17,17.87,18.8,0.49,0,2.06,6.95,2.02
27,17,17.7,18.8,0.51,0,2.06,6.95,2.02
28,16.78,17.64,18.67,0.49,0,2.06,6.95,2.02
29,16.75,17.57,18.6,0.49,0,2.06,6.95,2.02
30,16.57,17.48,18.25,0.5,0,2.06,6.95,2.02
31,16.5,17.37,18.2,0.48,0,2.06,6.95,2.02
32,16.4,17.35,18.2,0.5,0,2.06,6.95,2.02
33,16.25,17.24,17.8,0.5,0,2.06,6.95,2.02
