k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,146,146,146,0,87.63,93.54,103.49,4.69
1,146,146,146,0,87.63,93.54,103.49,4.69
2,146,146,146,0,0,79.13,103.49,34.35
3,146,146,146,0,0,63.18,106.3,43.07
4,146,146,146,0,0,46.77,121.99,48.85
5,146,146,146,0,0,46.64,121.99,48.68
6,146,146,146,0,0,42.09,121.99,48.8
7,146,146,146,0,0,18.85,121.99,39.51
8,144.87,145.25,146,0.46,0,4.82,96.43,21.56
9,144.86,144.95,145.5,0.19,0,0,0,0
10,144.67,144.83,145,0.08,0,0,0,0
11,144.6,144.78,144.86,0.08,0,0,0,0
12,144.5,144.72,144.83,0.11,0,0,0,0
13,144.25,144.57,144.8,0.16,0,0,0,0
14,144,144.3,144.75,0.25,0,0,0,0
15,144,144.1,144.67,0.2,0,0,0,0
16,143.67,143.85,144,0.14,0,0,0,0
17,143.67,143.73,144,0.1,0,0,0,0
18,143.4,143.6,143.71,0.08,0,0,0,0
19,143.25,143.49,143.67,0.13,0,0,0,0
20,143,143.33,143.6,0.18,0,0,0,0
21,142.87,143.08,143.5,0.17,0,0,0,0
22,142.62,142.98,143.33,0.12,0,0,0,0
23,142.57,142.83,143,0.11,0,0,0,0
24,142.5,142.64,143,0.13,0,0,0,0
25,142.4,142.52,142.71,0.08,0,0,0,0
26,142,142.36,142.5,0.15,0,0,0,0
27,141.87,142.21,142.4,0.16,0,0,0,0
28,141.62,142.01,142.25,0.15,0,0,0,0
29,141.5,141.85,142,0.12,0,0,0,0
30,141.43,141.7,142,0.12,0,0,0,0
31,141.33,141.57,141.87,0.14,0,0,0,0
32,141.2,141.39,141.75,0.16,0,0,0,0
33,141,141.2,141.57,0.15,0,0,0,0
34,140.75,141,141.33,0.16,0,0,0,0
35,140.62,140.86,141.2,0.14,0,0,0,0
36,140.37,140.72,141,0.13,0,0,0,0
37,140.29,140.59,140.87,0.12,0,0,0,0
38,140.17,140.46,140.75,0.14,0,0,0,0
39,140,140.29,140.57,0.2,0,0,0,0
40,139.75,140.07,140.5,0.21,0,0,0,0
41,139.62,139.87,140.2,0.15,0,0,0,0
42,139.43,139.71,139.87,0.13,0,0,0,0
43,139.33,139.58,139.75,0.13,0,0,0,0
44,139.14,139.45,139.62,0.13,0,0,0,0
45,139,139.33,139.57,0.15,0,0,0,0
46,139,139.19,139.5,0.15,0,0,0,0
47,138.75,139.04,139.2,0.12,0,0,0,0
48,138.5,138.77,139,0.17,0,0,0,0
49,138.29,138.59,139,0.17,0,0,0,0
50,138.17,138.46,138.62,0.12,0,0,0,0
51,138,138.31,138.5,0.15,0,0,0,0
52,138,138.19,138.33,0.13,0,0,0,0
53,137.87,138.05,138.2,0.11,0,0,0,0
54,137.5,137.91,138,0.14,0,0,0,0
55,137.5,137.79,138,0.17,0,0,0,0
56,137.25,137.54,137.75,0.16,0,0,0,0
57,137.14,137.38,137.62,0.16,0,0,0,0
58,137,137.24,137.5,0.16,0,0,0,0
59,136.87,137.08,137.37,0.16,0,0,0,0
60,136.75,136.92,137.14,0.13,0,0,0,0
61,136.62,136.79,137,0.15,0,0,0,0
62,136.25,136.63,136.87,0.19,0,0,0,0
63,136.12,136.44,136.75,0.2,0,0,0,0
64,136,136.26,136.62,0.18,0,0,0,0
65,135.87,136.09,136.37,0.16,0,0,0,0
66,135.75,135.95,136.25,0.16,0,0,0,0
67,135.5,135.78,136.12,0.18,0,0,0,0
68,135.25,135.63,135.87,0.19,0,0,0,0
69,135.14,135.48,135.75,0.19,0,0,0,0
70,135,135.34,135.62,0.2,0,0,0,0
71,135,135.19,135.5,0.19,0,0,0,0
72,134.62,134.98,135.25,0.14,0,0,0,0
73,134.5,134.84,135.12,0.16,0,0,0,0
74,134.5,134.71,135,0.16,0,0,0,0
75,134.25,134.56,134.87,0.18,0,0,0,0
76,134,134.39,134.62,0.19,0,0,0,0
77,134,134.26,134.5,0.17,0,0,0,0
78,134,134.13,134.37,0.15,0,0,0,0
79,133.62,134,134.25,0.16,0,0,0,0
80,133.5,133.79,134,0.14,0,0,0,0
81,133.37,133.66,133.87,0.14,0,0,0,0
82,133.25,133.52,133.75,0.13,0,0,0,0
83,133,133.36,133.62,0.15,0,0,0,0
84,132.87,133.2,133.37,0.15,0,0,0,0
85,132.75,133.06,133.25,0.14,0,0,0,0
86,132.62,132.92,133.12,0.15,0,0,0,0
87,132.5,132.78,133,0.18,0,0,0,0
88,132.37,132.57,133,0.16,0,0,0,0
89,132.25,132.44,133,0.19,0,0,0,0
90,132,132.29,132.87,0.2,0,0,0,0
91,131.75,132.13,132.62,0.21,0,0,0,0
92,131.62,131.97,132.37,0.21,0,0,0,0
93,131.37,131.81,132.12,0.21,0,0,0,0
94,131.25,131.68,132,0.25,0,0,0,0
95,131,131.51,131.87,0.27,0,0,0,0
96,131,131.35,131.75,0.26,0,0,0,0
97,130.75,131.18,131.62,0.22,0,0,0,0
98,130.62,131.03,131.5,0.25,0,0,0,0
99,130.5,130.89,131.37,0.27,0,0,0,0
100,130.37,130.74,131.12,0.26,0,0,0,0
101,130.12,130.58,130.87,0.27,0,0,0,0
102,130,130.4,130.75,0.25,0,0,0,0
103,129.87,130.26,130.62,0.23,0,0,0,0
104,129.75,130.11,130.5,0.19,0,0,0,0
105,129.62,129.94,130.37,0.19,0,0,0,0
106,129.5,129.82,130.12,0.18,0,0,0,0
107,129.25,129.64,130,0.21,0,0,0,0
108,129.12,129.48,129.87,0.2,0,0,0,0
109,129,129.34,129.62,0.2,0,0,0,0
110,128.75,129.18,129.5,0.2,0,0,0,0
111,128.62,129.05,129.37,0.18,0,0,0,0
112,128.5,128.89,129.25,0.17,0,0,0,0
113,128.37,128.72,129.12,0.19,0,0,0,0
114,128.25,128.59,129,0.17,0,0,0,0
115,128,128.42,128.87,0.2,0,0,0,0
116,127.87,128.24,128.62,0.2,0,0,0,0
117,127.75,128.07,128.37,0.2,0,0,0,0
118,127.5,127.95,128.25,0.21,0,0,0,0
119,127.37,127.79,128.12,0.23,0,0,0,0
120,127.25,127.63,128,0.22,0,0,0,0
121,127.12,127.44,127.87,0.22,0,0,0,0
122,127,127.31,127.62,0.21,0,0,0,0
123,126.75,127.15,127.5,0.24,0,0,0,0
124,126.5,126.96,127.25,0.24,0,0,0,0
125,126.37,126.79,127.12,0.23,0,0,0,0
126,126.25,126.65,127,0.25,0,0,0,0
127,126.12,126.51,127,0.26,0,0,0,0
128,126,126.35,126.75,0.24,0,0,0,0
129,125.75,126.21,126.62,0.23,0,0,0,0
130,125.62,126.07,126.5,0.26,0,0,0,0
131,125.5,125.92,126.37,0.28,0,0,0,0
132,125.25,125.75,126.25,0.28,0,0,0,0
133,125.12,125.58,126,0.28,0,0,0,0
134,125,125.42,125.87,0.29,0,0,0,0
135,125,125.28,125.75,0.24,0,0,0,0
136,124.75,125.14,125.62,0.25,0,0,0,0
137,124.62,124.97,125.37,0.24,0,0,0,0
138,124.37,124.81,125.25,0.24,0,0,0,0
