k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,0.72,2.58,4.81,1.3
1,20,20,20,0,0.72,2.58,4.81,1.3
2,20,20,20,0,0,1.85,5.98,1.81
3,20,20,20,0,0,1.49,5.61,1.63
4,18.75,19,20,0.44,0,2.08,8.02,2.11
5,18.67,18.76,19,0.09,0,1.76,5.61,1.64
6,18.33,18.65,18.75,0.14,0,1.76,5.61,1.64
7,18,18.37,18.75,0.34,0,1.76,5.61,1.64
8,17.33,18.26,18.75,0.37,0,1.76,5.61,1.64
9,17,18.05,18.75,0.48,0,1.98,5.61,1.68
10,17,17.83,18.75,0.57,0,1.79,5.61,1.63
11,16.5,17.68,18.75,0.67,0,1.68,5.61,1.55
12,16,17.39,18.67,0.66,0,1.53,5.61,1.64
13,15.75,17.18,18.67,0.65,0,1.46,5.61,1.72
14,15.5,17,18.67,0.64,0,1.55,5.61,1.68
15,15.5,16.73,18.67,0.74,0,1.55,5.61,1.68
16,15.5,16.54,18.5,0.76,0,1.53,5.61,1.68
17,15,16.3,17.33,0.71,0,1.6,5.61,1.71
18,14.5,16.07,17.33,0.73,0,1.48,5.61,1.59
19,14.25,15.85,17,0.7,0,1.37,5.61,1.6
20,14,15.68,17,0.7,0,1.31,5.61,1.55
21,13.75,15.46,17,0.77,0,1.31,5.61,1.55
22,13.75,15.25,17,0.8,0,1.53,5.61,1.66
23,13.75,14.88,17,0.76,0,1.53,5.61,1.66
24,13.5,14.63,16,0.64,0,1.31,5.61,1.55
25,13,14.5,15.75,0.65,0,1.31,5.61,1.55
26,13,14.29,15.67,0.73,0,1.31,5.61,1.55
27,12.75,14.05,15.67,0.83,0,1.31,5.61,1.55
28,12.5,13.92,15.67,0.91,0,1.31,5.61,1.55
29,12.25,13.7,15.67,0.93,0,1.31,5.61,1.55
30,12.25,13.56,15.67,0.92,0,1.31,5.61,1.55
31,11.75,13.42,15.67,0.98,0,1.31,5.61,1.55
32,11.67,13.25,15.67,1,0,1.31,5.61,1.55
33,11.33,13.1,15.67,1.06,0,1.31,5.61,1.55
34,11,12.92,15.67,1.1,0,1.31,5.61,1.55
35,10.75,12.67,15,1.06,0,1.31,5.61,1.55
36,10.25,12.38,14.5,1.09,0,1.31,5.61,1.55
37,10,12.16,14.33,1.09,0,1.31,5.61,1.55
38,10,11.89,14,1.08,0,1.31,5.61,1.55
39,10,11.72,13.5,1.05,0,1.31,5.61,1.55
40,9.75,11.5,13.5,1.15,0,1.31,5.61,1.55
41,9.5,11.37,13.5,1.22,0,1.31,5.61,1.55
42,9.5,11.17,13.33,1.23,0,1.31,5.61,1.55
43,9.33,11.01,13,1.26,0,1.31,5.61,1.55
44,8.5,10.83,13,1.35,0,1.31,5.61,1.55
45,8.5,10.62,13,1.41,0,1.31,5.61,1.55
46,8.25,10.43,13,1.43,0,1.37,5.61,1.52
47,8,10.22,13,1.44,0,1.37,5.61,1.52
48,8,10.02,13,1.46,0,1.37,5.61,1.52
49,8,9.92,13,1.49,0,1.31,5.61,1.55
50,7.5,9.81,13,1.53,0,1.37,5.61,1.52
51,7.25,9.58,13,1.63,0,1.37,5.61,1.52
52,6.75,9.46,13,1.71,0,1.37,5.61,1.52
53,6.75,9.37,12.67,1.7,0,1.37,5.61,1.52
54,6.5,9.12,12,1.65,0,1.37,5.61,1.52
55,6,8.95,12,1.7,0,1.37,5.61,1.52
56,6,8.77,11.67,1.69,0,1.37,5.61,1.52
57,6,8.63,11.67,1.7,0,1.37,5.61,1.52
58,5.25,8.5,11.33,1.73,0,1.37,5.61,1.52
59,5.25,8.45,11.33,1.72,0,1.37,5.61,1.52
60,5,8.3,11.33,1.78,0,1.37,5.61,1.52
61,5,8.1,11.33,1.89,0,1.37,5.61,1.52
62,5,8.05,11.33,1.91,0,1.37,5.61,1.52
63,5,7.93,11,1.93,0,0.89,2.79,0.98
64,5,7.82,11,1.87,0,1.09,3.99,1.18
65,4.5,7.68,10.67,1.82,0,0.89,2.79,0.98
66,4,7.43,10.67,1.89,0,0.75,2.43,0.89
67,3.5,7.22,10,1.95,0,0.89,2.79,0.98
68,3.5,6.97,10,1.92,0,0.75,2.43,0.89
69,3.25,6.79,10,1.92,0,0.81,2.79,0.99
70,3,6.58,9.33,1.92,0,0.81,2.79,0.99
71,2.25,6.34,9.33,2,0,0.73,2.79,0.98
72,2,6.05,9.33,2.02,0,0.73,2.79,0.98
73,1.75,5.89,9.33,2.06,0,0.73,2.79,0.98
74,1.5,5.72,9.33,2.05,0,0.59,2.43,0.87
75,1.5,5.5,9.33,2.05,0,0.59,2.43,0.87
76,1.5,5.37,8.5,2.03,0,0.43,2.39,0.76
77,1.5,5.21,8.33,1.96,0,0.47,2.39,0.76
78,1.25,4.97,8.33,1.93,0,0.43,2.39,0.76
79,1,4.87,8.33,1.96,0,0.47,2.39,0.76
80,1,4.7,8.33,1.96,0,0.43,2.39,0.76
81,0.5,4.47,8,1.9,0,0.43,2.39,0.76
82,0.5,4.34,8,1.89,0,0.43,2.39,0.76
83,0.25,4.19,8,1.93,0,0.43,2.39,0.76
84,0,4.07,8,2.01,0,0.33,2.39,0.68
85,0,3.92,8,2.06,0,0.33,2.39,0.68
86,0,3.73,8,2.12,0,0.33,2.39,0.68
