k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,9,9,9,0,5.32,5.74,6.09,0.19
1,9,9,9,0,5.32,5.74,6.09,0.19
2,9,9,9,0,2.81,5.58,6.09,0.68
3,9,9,9,0,0,4.95,7.04,1.65
4,9,9,9,0,0,4.1,7.24,2.1
5,9,9,9,0,0,2.38,5.87,1.85
6,9,9,9,0,0,1.95,4.89,1.75
7,9,9,9,0,0,1.42,4.89,1.56
8,9,9,9,0,0,1.3,4.89,1.62
9,9,9,9,0,0,0.79,4.35,1.15
10,9,9,9,0,0,0.59,4.35,1.15
11,9,9,9,0,0,0.28,2.81,0.74
12,9,9,9,0,0,0.14,1.48,0.42
13,7.92,8.35,9,0.38,0,0,0,0
14,7.83,8.04,9,0.26,0,0,0,0
15,7.73,7.91,8,0.05,0,0,0,0
16,7.7,7.9,7.92,0.05,0,0,0,0
17,7.67,7.87,7.92,0.06,0,0,0,0
18,7.62,7.85,7.91,0.07,0,0,0,0
19,7.57,7.8,7.9,0.1,0,0,0,0
20,7.5,7.76,7.89,0.11,0,0,0,0
21,7.4,7.69,7.87,0.14,0,0,0,0
22,7.25,7.58,7.8,0.17,0,0,0,0
23,7,7.43,7.75,0.25,0,0,0,0
24,7,7.25,7.67,0.25,0,0,0,0
25,7,7.05,7.5,0.14,0,0,0,0
26,6.83,6.96,7.33,0.12,0,0,0,0
27,6.73,6.85,7,0.07,0,0,0,0
28,6.6,6.81,7,0.07,0,0,0,0
29,6.56,6.77,6.83,0.06,0,0,0,0
30,6.5,6.74,6.82,0.08,0,0,0,0
31,6.43,6.69,6.78,0.09,0,0,0,0
32,6.33,6.61,6.75,0.12,0,0,0,0
33,6.2,6.52,6.71,0.15,0,0,0,0
34,6,6.38,6.67,0.19,0,0,0,0
35,6,6.22,6.5,0.19,0,0,0,0
36,5.92,6.04,6.33,0.13,0,0,0,0
37,5.85,5.95,6,0.07,0,0,0,0
38,5.75,5.87,6,0.08,0,0,0,0
39,5.73,5.79,5.92,0.05,0,0,0,0
40,5.64,5.74,5.83,0.04,0,0,0,0
41,5.5,5.7,5.73,0.05,0,0,0,0
42,5.44,5.66,5.7,0.06,0,0,0,0
43,5.37,5.6,5.67,0.09,0,0,0,0
44,5.29,5.54,5.62,0.11,0,0,0,0
45,5.17,5.43,5.57,0.14,0,0,0,0
46,5,5.3,5.5,0.18,0,0,0,0
47,4.92,5.13,5.4,0.16,0,0,0,0
48,4.77,4.95,5.25,0.1,0,0,0,0
49,4.75,4.87,5,0.08,0,0,0,0
50,4.64,4.77,4.92,0.08,0,0,0,0
51,4.6,4.7,4.85,0.08,0,0,0,0
52,4.56,4.65,4.77,0.07,0,0,0,0
