k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,30,30,30,0,7.45,8.22,8.57,0.26
1,30,30,30,0,7.45,8.22,8.57,0.26
2,30,30,30,0,1.67,7.39,13.44,2.71
3,30,30,30,0,0,6.49,14.91,4.47
4,30,30,30,0,0,5.08,12.09,3.66
5,30,30,30,0,0,4.42,12.99,3.84
6,30,30,30,0,0,3.79,15.58,4.08
7,30,30,30,0,0,3.72,15.58,4.06
8,30,30,30,0,0,4.96,15.58,4.51
9,30,30,30,0,0,4.78,12.09,4.13
10,28.9,29.3,30,0.47,0,4.89,12.09,4.02
11,28.89,29.03,30,0.29,0,4.92,12.09,4
12,28.87,28.91,29,0.04,0,4.92,12.09,4
13,28.86,28.89,29,0.03,0,4.92,12.09,4
14,28.67,28.86,28.9,0.05,0,4.92,12.09,4
15,28.6,28.83,28.9,0.09,0,4.92,12.09,4
16,28.25,28.77,28.9,0.2,0,4.92,12.09,4
17,28,28.73,28.9,0.23,0,4.92,12.09,4
18,28,28.7,28.89,0.24,0,4.92,12.09,4
19,28,28.63,28.89,0.31,0,4.92,12.09,4
20,27.78,28.58,28.89,0.35,0,4.92,12.09,4
21,27.75,28.5,28.89,0.41,0,4.92,12.09,4
22,27.71,28.43,28.89,0.45,0,4.92,12.09,4
23,27.67,28.35,28.89,0.49,0,4.92,12.09,4
24,27.6,28.26,28.89,0.47,0,4.92,12.09,4
25,27.5,28.19,28.89,0.49,0,4.92,12.09,4
26,27.4,28.11,28.87,0.48,0,4.92,12.09,4
27,27.25,28.02,28.87,0.49,0,4.92,12.09,4
28,27,27.87,28.75,0.49,0,4.92,12.09,4
29,27,27.82,28.71,0.5,0,4.92,12.09,4
30,26.8,27.72,28.67,0.5,0,4.92,12.09,4
31,26.7,27.65,28.6,0.51,0,4.92,12.09,4
32,26.7,27.6,28.5,0.5,0,4.92,12.09,4
33,26.5,27.48,28.25,0.49,0,4.92,12.09,4
34,26.4,27.36,28,0.47,0,4.92,12.09,4
35,26.33,27.25,27.78,0.47,0,4.92,12.09,4
36,26.25,27.17,27.75,0.48,0,4.92,12.09,4
37,26,27.09,27.75,0.55,0,4.92,12.09,4
38,26,26.99,27.75,0.59,0,4.92,12.09,4
39,26,26.92,27.75,0.6,0,4.92,12.09,4
40,25.9,26.88,27.75,0.61,0,4.92,12.09,4
41,25.8,26.77,27.75,0.57,0,4.92,12.09,4
42,25.67,26.71,27.75,0.58,0,4.92,12.09,4
43,25.5,26.64,27.75,0.6,0,4.92,12.09,4
44,25.43,26.57,27.75,0.58,0,4.92,12.09,4
45,25.33,26.5,27.75,0.59,0,4.92,12.09,4
46,25.2,26.43,27.62,0.63,0,4.92,12.09,4
47,25,26.36,27.57,0.66,0,4.92,12.09,4
48,24.9,26.3,27.5,0.71,0,4.92,12.09,4
49,24.8,26.24,27.4,0.71,0,4.92,12.09,4
50,24.7,26.17,27.25,0.72,0,4.92,12.09,4
51,24.7,26.11,27,0.67,0,4.92,12.09,4
52,24.7,26,26.62,0.61,0,4.92,12.09,4
53,24.57,25.92,26.62,0.65,0,4.92,12.09,4
54,24.33,25.79,26.57,0.69,0,4.92,12.09,4
